wk,n,anger,share_angry,anger_dem,anger_rep,n_dem,n_rep,disgust,fear,sadness,joy,baseline,excess,spike_score,dem_excess,rep_excess
2024-08-05,6109,0.2805175326803001,0.2771321001800622,0.19353287240211653,0.37294634536006904,3175.0,2883.0,0.2693194396952239,0.1685892408230429,0.12979636586634516,0.4997212177469203,0.3224039149578465,-0.041886382277546375,-1.0518092943476263,-0.05034355862306936,-0.029502881287244098
2024-08-12,5933,0.31383147822985274,0.31468060003370973,0.21503683909664165,0.40917545657476617,2930.0,2954.0,0.2983447087390391,0.1503223526010096,0.13750741379509762,0.49302997844792573,0.3224039149578465,-0.008572436727993737,-0.21434954495308867,-0.02883959192854424,0.012069895039988454
2024-08-19,5631,0.3024258146396916,0.3003019001953472,0.19301616547635086,0.3918868585369274,2548.0,3055.0,0.2933062540017938,0.1538728768484529,0.15644026093942112,0.4802757794726898,0.3224039149578465,-0.01997810031815489,-0.5002133996074083,-0.03878998040387718,-0.005218702997850322
2024-08-26,5700,0.3224039149578465,0.32473684210526316,0.20656994157798836,0.4319891085639206,2782.0,2883.0,0.317619979045795,0.1882347901762267,0.18696407200335607,0.44655940492809015,0.3168579301699071,0.005545984787939384,0.1390616651528908,-0.020851292585695763,0.03845020519625686
2024-09-02,5258,0.28845118370501216,0.28432864206922787,0.20743300635437506,0.37993892687673847,2799.0,2429.0,0.2820338412419496,0.18631375032532344,0.16483524114073467,0.48029587580574434,0.31383147822985274,-0.025380294524840585,-0.6340819451844911,-0.007603832742266586,-0.011947931660188926
2024-09-09,7877,0.3445964878534604,0.342897042021074,0.2850857837842665,0.40244922664731314,3911.0,3919.0,0.3306241137304511,0.22048111662881795,0.19387713097154355,0.38914882961920855,0.30405839905664217,0.04053808879681825,1.0124275851033093,0.07004894468762488,0.014636010426532176
2024-09-16,7559,0.3414551142115505,0.3459452308506416,0.2868371626433406,0.39353890336766373,3754.0,3757.0,0.3235865296125225,0.18352451291481578,0.1483182519554051,0.44788259426411525,0.3024258146396916,0.03902929957185891,0.9701085844186731,0.07940415628896552,0.005725687146882763
2024-09-23,7173,0.3329991593116056,0.3355639202565175,0.27213786166273934,0.38781321622078097,3448.0,3697.0,0.3215705650509579,0.21867454662167546,0.15541075039677044,0.40281025262591846,0.3024258146396916,0.030573344671914027,0.7559893895336732,0.06470485530836428,0.0
2024-09-30,7600,0.29944903039189646,0.29776315789473684,0.22742123416368412,0.3689680810095782,3779.0,3784.0,0.287231916795595,0.19535323531927518,0.1404533918967201,0.45377386428149247,0.29944903039189646,0.0,0.0,0.01998822780930906,-0.010970845867160295
2024-10-07,7584,0.26813450042329795,0.26358122362869196,0.19844765012834006,0.33863237623944054,3840.0,3706.0,0.26478194857890797,0.22721896101747033,0.154214443364829,0.46157456824379406,0.29944903039189646,-0.031314529968598515,-0.8175681362764102,-0.016796469977317013,-0.041306550637297934
2024-10-14,6724,0.2832873559868958,0.28108268887566923,0.20170328530716106,0.37210530162429056,3555.0,3134.0,0.27013472802959193,0.16680940662743107,0.1266794020745234,0.49144958684422163,0.2973572940621359,-0.014069938075240096,-0.3681258240300571,-0.013540834798496021,-0.0061712895113619215
