cycle,party,weeks_to_election,n,anger
2016,Republican,48,1565,0.19713954533310457
2016,Republican,49,783,0.14018739357062568
2016,Republican,50,1408,0.18676549497600223
2016,Republican,51,1628,0.1842489951235558
2016,Republican,52,1523,0.19126907586763983
2016,Republican,53,1431,0.21050955946843583
2016,Republican,54,1628,0.24753456468566915
2016,Republican,55,1206,0.15471945071992949
2016,Republican,56,1352,0.1499456694937234
2016,Republican,57,1501,0.16961702238830387
2016,Republican,58,1330,0.12060603637185256
2016,Republican,59,1504,0.19691769973631265
2016,Republican,60,1581,0.2863681198235903
2016,Republican,61,868,0.16405256433908136
2016,Republican,62,1715,0.11482268976951805
2016,Republican,63,1829,0.12931849105177196
2016,Republican,64,1675,0.1390805595660054
2016,Republican,65,1565,0.17748941215641867
2016,Republican,66,2209,0.2140294722528667
2016,Republican,67,2883,0.22220795486507433
2016,Republican,68,2857,0.1973663007340625
2016,Republican,69,3130,0.19852075520322654
2016,Republican,70,1765,0.11830701145710207
2016,Republican,71,2445,0.1971828515508073
2016,Republican,72,2470,0.14425029630427766
2016,Republican,73,2236,0.16173900745822406
2016,Republican,74,343,0.1985925466579768
2016,Republican,75,2172,0.17607224892531598
2016,Republican,76,2187,0.13464284048626088
2016,Republican,77,2770,0.1533080571452122
2016,Republican,78,2635,0.10171458334935939
2016,Republican,79,2710,0.11080779343434503
2016,Republican,80,2333,0.14003162893182824
2016,Republican,81,2586,0.17414418798428366
2016,Republican,82,2243,0.14562337541461948
2016,Republican,83,1745,0.11834805883162983
2016,Republican,84,2360,0.14253342543922018
2016,Republican,85,2814,0.17990240881132794
2016,Republican,86,2409,0.1496394886274738
2016,Republican,87,2023,0.1683602328116449
2016,Republican,88,3193,0.21462184013542157
2016,Republican,89,2311,0.20794525256175717
2016,Republican,90,1226,0.15300998933762192
2016,Republican,92,1164,0.15292726274895005
2016,Republican,93,3324,0.2002535489268453
2016,Republican,94,1781,0.16434072505877234
2016,Republican,95,2277,0.18294014271633388
2016,Republican,96,752,0.09739754202978765
2016,Republican,97,407,0.09870601213406725
2016,Republican,98,932,0.1785507632647801
2016,Republican,99,1337,0.2044953514021461
2016,Republican,100,1538,0.20629185434280664
2016,Republican,101,921,0.1460596671500865
2016,Republican,102,1699,0.3012964318051722
2016,Republican,103,411,0.2356781463440136
2018,Democrat,0,2771,0.29893100620487734
2018,Democrat,1,3079,0.37597215764548786
2018,Democrat,2,2840,0.4241144110356838
2018,Democrat,3,3096,0.32627706570855824
2018,Democrat,4,2934,0.3842651215639034
2018,Democrat,5,3385,0.38813509690538156
2018,Democrat,6,3032,0.3686164642093177
2018,Democrat,7,3181,0.35584650856595873
2018,Democrat,8,2989,0.38638927463199674
2018,Democrat,9,2260,0.42437935489254586
2018,Democrat,10,3198,0.34075772135781757
2018,Democrat,11,2800,0.3658667460430713
2018,Democrat,12,2570,0.36725080251614
2018,Democrat,13,2863,0.3657034838414701
2018,Democrat,14,3436,0.3991069208263562
2018,Democrat,15,3649,0.42927430946725476
2018,Democrat,16,4032,0.5069453971695371
2018,Democrat,17,2716,0.44409985219247416
2018,Democrat,18,3802,0.39068266676501495
2018,Democrat,19,4108,0.4919405068247511
2018,Democrat,20,4286,0.4746051840911125
2018,Democrat,21,995,0.44966847733196674
2018,Democrat,22,2764,0.37799100421673004
2018,Democrat,23,2724,0.3343069094300568
2018,Democrat,24,3953,0.38035265730680745
2018,Democrat,25,3543,0.3219219429295951
2018,Democrat,26,3261,0.334420720966803
2018,Democrat,27,3468,0.3103150222144351
2018,Democrat,28,3619,0.3332891073390588
2018,Democrat,29,3723,0.4133206981487158
2018,Democrat,30,3222,0.3266707968883376
2018,Democrat,31,2833,0.3038658202733309
2018,Democrat,32,3732,0.3124280124741765
2018,Democrat,33,2496,0.32982936217442144
2018,Democrat,34,2481,0.30074588872634206
2018,Democrat,35,3303,0.3191116470357168
2018,Democrat,36,3044,0.34059828416974886
2018,Democrat,37,2803,0.36796174355065886
