year,party,age_bracket,n,anger,anger_dev
2013,Democrat,50,13772,0.1895095447758547,0.011192312704091628
2013,Democrat,55,10870,0.1600093967672189,-0.018307835304544162
2013,Democrat,60,12078,0.17819590486497341,-0.00012132720678964537
2013,Democrat,65,15277,0.18701964623360975,0.008702414161846694
2013,Democrat,70,7187,0.20313860943278653,0.024821377361023467
2013,Democrat,75,4790,0.1758088942617664,-0.0025083378099966525
2013,Democrat,80,1019,0.3297693036908834,0.15145207161912036
2013,Republican,30,1088,0.29879928877498435,0.06739255490751248
2013,Republican,35,6287,0.21134202036469185,-0.020064713502780024
2013,Republican,40,10258,0.28543326772634486,0.05402653385887299
2013,Republican,45,9908,0.2008320025529449,-0.03057473131452698
2013,Republican,50,19055,0.21018419579697598,-0.0212225380704959
2013,Republican,55,15698,0.23468825118601688,0.0032815173185450075
2013,Republican,60,13013,0.24249341697816423,0.011086683110692358
2013,Republican,65,5754,0.2286391938129504,-0.0027675400545214834
2013,Republican,70,1801,0.26226876286902506,0.030862029001553187
2013,Republican,75,3390,0.22270676796242134,-0.008699965905050538
2014,Democrat,30,2292,0.12434320741216855,-0.0205119714779773
2014,Democrat,35,3794,0.09356932763295503,-0.05128585125719082
2014,Democrat,40,8656,0.13356275284419036,-0.011292426045955484
2014,Democrat,45,11399,0.13988180570165093,-0.004973373188494917
2014,Democrat,50,12279,0.13554436379617518,-0.009310815093970665
2014,Democrat,55,13217,0.12312504610304924,-0.02173013278709661
2014,Democrat,60,16535,0.14130674777684848,-0.0035484311132973623
2014,Democrat,65,17525,0.17389638492537293,0.029041206035227085
2014,Democrat,70,12621,0.16816736397709928,0.02331218508695343
2014,Democrat,75,3635,0.13148545426498467,-0.013369724625161172
2014,Democrat,80,1504,0.19738232077129106,0.05252714188114521
2014,Democrat,85,281,0.2255190758455505,0.08066389695540466
2014,Republican,30,773,0.23344734713964088,0.03986730599288582
2014,Republican,35,4314,0.19509607931634856,0.0015160381695935032
2014,Republican,40,6959,0.2026349527414453,0.00905491159469024
2014,Republican,45,6947,0.16887206428194837,-0.02470797686480669
2014,Republican,50,16484,0.17359741881124885,-0.01998262233550621
2014,Republican,55,19568,0.20224017995184643,0.008660138805091366
2014,Republican,60,14059,0.2053314914568474,0.011751450310092337
2014,Republican,65,5241,0.1615365776195614,-0.03204346352719367
2014,Republican,70,3702,0.227788673148016,0.03420863200126095
2014,Republican,75,3440,0.21232154897081146,0.018741507824056397
2014,Republican,80,995,0.2366177593273621,0.04303771818060703
2015,Democrat,30,2052,0.12163169825253065,-0.03967888615213644
2015,Democrat,35,4059,0.11649218915880688,-0.044818395245860204
