year,age_bracket,n,members,anger,share_angry,negative,joy,anger_se,anger_dev
2014,65,22944,58,0.17054184036638653,0.13846757322175732,0.1272001326973473,0.496128416883682,0.0017909830652926213,0.0037888954097208827
2014,70,19480,36,0.18285155606735068,0.14851129363449692,0.13780373920893257,0.4632732283473646,0.0019918610805999795,0.01609861111068503
2014,75,7075,16,0.17078950596647502,0.13780918727915195,0.11293426169971063,0.49349782243584916,0.0031593496859248166,0.00403656100980937
2014,80,2499,8,0.21300427409793798,0.1752701080432173,0.1643776523789075,0.39839884708775264,0.005840582799051948,0.046251329141272335
2014,85,281,1,0.2255190758455505,0.18149466192170818,0.1525044284373177,0.3811855163297606,0.01709829380132417,0.058766130888884854
2015,30,3101,6,0.11493685059133774,0.08287649145436955,0.09186839763365232,0.5971272314503135,0.004024404246238515,-0.053034687151598064
2015,35,9800,20,0.13506867414280982,0.105,0.09860629372002927,0.5693907724637111,0.002469205662486782,-0.03290286360012598
2015,40,10267,33,0.18183480912088923,0.15944287523132367,0.1312110136599653,0.5344509762547456,0.0028897116296468903,0.013863271377953429
2015,45,19373,36,0.15794937692239652,0.13023279822433284,0.12066064815642003,0.5564774232029583,0.0019225376584850904,-0.010022160820539278
2015,50,31254,71,0.15548378012801087,0.1281435976195047,0.1119218093809504,0.5532600218430981,0.0015035850924095668,-0.012487757614924933
2015,55,34513,79,0.15226809708836284,0.1226784110335236,0.11088722869764531,0.5514738979994119,0.0014041104585744112,-0.015703440654572964
2015,60,37033,83,0.16588251279261174,0.1382550698026085,0.11500246145605256,0.5370386032654074,0.0014156726121714708,-0.0020890249503240643
2015,65,24900,57,0.1871532156190229,0.16164658634538154,0.1393888687245977,0.5254687698807635,0.0018528011136122596,0.0191816778760871
2015,70,19041,36,0.1975600632505598,0.16627277979097738,0.15632119444637826,0.4545936917922797,0.00212129184450371,0.029588525507624003
2015,75,8497,17,0.21567624252340173,0.18500647287277863,0.13947149823301705,0.4639083602716084,0.003297120491070383,0.04770470478046593
2015,80,2134,7,0.20336674886381195,0.16869728209934395,0.14431650669813886,0.42662276276657857,0.006193213905201398,0.03539521112087615
2015,85,492,1,0.22175746642969307,0.18699186991869918,0.14815726487592573,0.4586412373474019,0.01363385783129618,0.05378592868675727
2016,30,865,1,0.0485293535413382,0.009248554913294798,0.029121684767117434,0.6622669602991916,0.003081384380449092,-0.13563791120332486
2016,35,11110,19,0.16100312765357844,0.136993699369937,0.12045694279336076,0.5505506744191242,0.002638084304696748,-0.023164137091084613
2016,40,9544,32,0.16060741926339567,0.13306789606035205,0.12456131661171006,0.5214798991888553,0.0027859526942903244,-0.023559845481267383
2016,45,19439,40,0.15333279298398145,0.12757857914501775,0.11516593567902705,0.5655237626996256,0.0019245672627239575,-0.030834471760681603
2016,50,27922,67,0.17511095775050473,0.15210228493660913,0.13465210821948906,0.5291014664564972,0.0017068571498553824,-0.009056306994158325
2016,55,38386,74,0.17283402126109854,0.14916896785286302,0.13331867314418047,0.5331290594310865,0.0014569188728538731,-0.011333243483564515
2016,60,40783,92,0.16214442207374472,0.13503175342667287,0.11955086571987943,0.5290442091617099,0.0013441294125769577,-0.022022842670918336
2016,65,33121,74,0.21072246174295609,0.18870203194347998,0.15611258516995163,0.5033773502763919,0.0017185078686587413,0.026555196998293035
2016,70,19591,41,0.2312748607578435,0.2094329028635598,0.19193763123370144,0.46059752277649185,0.0023295547113821443,0.04710759601318046
2016,75,9761,23,0.2601098809651498,0.24075402110439503,0.18637405963529166,0.4445961242559656,0.0034575786013890763,0.07594261622048676
2016,80,5426,10,0.218063224434303,0.19240692959823075,0.15902176876566562,0.444280731016643,0.004190583283403705,0.03389595968963996
2016,85,552,2,0.2881121044587074,0.26811594202898553,0.20136828947748206,0.30428858399365866,0.013901896759453785,0.10394483971404433
2017,30,1169,2,0.072836786257605,0.04362703165098375,0.043181650751745175,0.6768003303280389,0.004836312710591547,-0.2159814238565127
2017,35,7706,17,0.2494917757209531,0.22735530755255645,0.17893352807938512,0.44713212311722395,0.0038388885297447337,-0.03932643439316458
2017,40,17619,36,0.2503554507773209,0.23128440887678076,0.18902065416392,0.46927196803905574,0.0025448892765135224,-0.03846275933679677
2017,45,20466,38,0.20572151149240436,0.18039675559464477,0.14363011286731425,0.5111800329458013,0.0021874160500605774,-0.08309669862171332
2017,50,40863,68,0.298545809202737,0.288378239483151,0.22535676125330323,0.4177289302068724,0.0018004177124956576,0.00972759908861931
2017,55,45045,85,0.28437255922841287,0.27317127317127315,0.2238195644127588,0.44266087920301594,0.0016964308776671302,-0.0044456508857048105
2017,60,52175,92,0.24551601595694675,0.22928605654048875,0.18349892063116566,0.4751613437314752,0.001479764252096478,-0.04330219415717093
2017,65,40007,82,0.3326265162496157,0.3213437648411528,0.24802816059158594,0.3638310263690034,0.0018654301806391126,0.04380830613549802
2017,70,31990,48,0.35342642487085413,0.3500781494216943,0.27435302460485483,0.374366776367126,0.0021517305701944244,0.06460821475673645
2017,75,11595,17,0.40468146897723506,0.4018111254851229,0.30472028760544,0.31825966265495526,0.003654261207940269,0.11586325886311738
2017,80,7566,10,0.22066694379908122,0.1936293946603225,0.15964777065860483,0.4461011309149603,0.0036070277746538203,-0.06815126631503646
2017,85,2166,2,0.44978493319747803,0.45060018467220686,0.3251375949868803,0.2204293918742997,0.007989418299169044,0.16096672308336035
2018,30,1564,4,0.09921124959951076,0.0741687979539642,0.06641193670264589,0.6618092946739167,0.005232986292941953,-0.18809559703743095
2018,35,6136,17,0.3166774276837435,0.3093220338983051,0.24803417495803162,0.4187354031495123,0.0047477669217081755,0.02937058104680179
2018,40,17812,33,0.291237169646413,0.28042892432068267,0.2343371836318287,0.45620237615010406,0.00269363409729688,0.0039303230094712704
