cycle,weeks_to_election,n,anger,share_angry,negative,anger_dev
2018,26,5507,0.2571096353952281,0.24804793898674415,0.1955213281478306,-0.02692182442502794
2018,27,5823,0.23752692195160785,0.21775716984372318,0.17956509940221774,-0.046504537868648166
2018,28,6179,0.2466268645988578,0.23563683443922964,0.1983507090402716,-0.03740459522139822
2018,29,6687,0.3183513816865767,0.31179901301031854,0.23341269749841204,0.03431992186632066
2018,30,5073,0.26093231857540966,0.24462842499507195,0.19821024023504907,-0.023099141244846355
2018,31,4569,0.2259333080150029,0.21339461588969139,0.17612456651076835,-0.05809815180525313
2018,32,6122,0.2631821636433358,0.24779483828814114,0.19160082882968252,-0.020849296176920218
2018,33,4246,0.2603020347951807,0.2531794630240226,0.2213288163567624,-0.0237294250250753
2018,34,4233,0.2428609749284447,0.22135601228443186,0.17901480458816524,-0.041170484891811326
2018,35,5630,0.24535031571300273,0.23019538188277086,0.18004897687171437,-0.03868114410725329
2018,36,4858,0.2556155021803721,0.23734046932894196,0.18789675834162345,-0.028415957639883915
2018,37,4493,0.2840928694428352,0.2706432227910082,0.25626147667032284,6.140962257916716e-05
2018,38,5079,0.2774926822342464,0.2650127977948415,0.21387651115575906,-0.006538777586009625
2018,39,6064,0.29492396963746437,0.28149736147757254,0.22797634064962924,0.010892509817208351
2018,40,5328,0.2761956699620866,0.26407657657657657,0.20173658131946334,-0.007835789858169406
2018,41,6454,0.44133331335236575,0.4480942051440967,0.31676010840452035,0.15730185353210974
2018,42,4598,0.27570662123004075,0.25967812092214004,0.1979460577122514,-0.008324838590215267
2018,43,4171,0.286761519440734,0.27307600095900264,0.22136204844465218,0.002730059620478009
2018,44,1879,0.2085863909777799,0.18573709419904205,0.16040751734083572,-0.07544506884247612
2018,45,3475,0.2988121168788442,0.28575539568345326,0.2230462175015052,0.014780657058588165
2018,46,5203,0.34679523128584777,0.341533730540073,0.2698354421541417,0.06276377146559176
2018,47,5023,0.2847552161232967,0.27314353971730043,0.2101653865522314,0.000723756303040668
2018,48,5219,0.37930938925788243,0.37440122628856104,0.2791648097362167,0.09527792943762642
