name,party,n,n_night,daytime,nighttime,night_minus_day
Steven Horsford,Democrat,11327,958.0,0.175654635527247,0.28914405010438415,0.11348941457713715
Brian Schatz,Democrat,9363,2346.0,0.31140050262737035,0.42284739982949704,0.1114468972021267
Andy Harris,Republican,5354,422.0,0.26611614278103357,0.3767772511848341,0.11066110840380056
Ron Wyden,Democrat,6171,1495.0,0.38524590163934425,0.4956521739130435,0.11040627227369926
Mark Meadows R-NC,Republican,5412,359.0,0.38847117794486213,0.4986072423398329,0.11013606439497076
Andy Kim,Democrat,6696,368.0,0.13777191825972313,0.24728260869565216,0.10951069043592904
Nicole Malliotakis,Republican,6387,860.0,0.46786632390745503,0.5744186046511628,0.10655228074370776
Ruben Gallego,Democrat,9031,1404.0,0.39145402997164847,0.49786324786324787,0.1064092178915994
Catherine Cortez Masto,Democrat,15774,1111.0,0.2545454545454545,0.3609360936093609,0.10639063906390639
Paul A. Gosar,Republican,18905,1331.0,0.3369875222816399,0.439519158527423,0.1025316362457831
Scott Perry,Republican,6056,304.0,0.29765962281299707,0.3980263157894737,0.1003666929764766
Val Demings D-FL,Democrat,11531,535.0,0.32781177463599914,0.4261682242990654,0.09835644966306628
Tammy Baldwin,Democrat,22018,300.0,0.21670173167179155,0.31333333333333335,0.0966316016615418
Angie Craig,Democrat,9434,358.0,0.18566374403937855,0.28212290502793297,0.09645916098855442
Bill Foster,Democrat,8881,310.0,0.22622710622710623,0.3193548387096774,0.09312773248257117
Veronica Escobar,Democrat,13116,945.0,0.3323635517281508,0.4253968253968254,0.09303327366867459
Adriano Espaillat,Democrat,14739,1023.0,0.2308064204215819,0.3235581622678397,0.09275174184625778
Darren Soto,Democrat,10206,697.0,0.1716854573997431,0.2611190817790531,0.08943362437930996
Mark Takano,Democrat,7776,405.0,0.31401065137238837,0.4,0.08598934862761165
Ron Johnson,Republican,10725,504.0,0.3213039978535015,0.40674603174603174,0.08544203389253024
Diana DeGette,Democrat,8521,369.0,0.3238572120820546,0.4092140921409214,0.08535688005886682
Christopher Murphy,Democrat,11667,1370.0,0.503666286459182,0.5875912408759124,0.08392495441673042
Suzan K. DelBene,Democrat,10706,348.0,0.1813929970926558,0.26436781609195403,0.08297481899929823
Ted Lieu,Democrat,21590,3546.0,0.497737556561086,0.577834179357022,0.08009662279593599
Patrick Leahy D-VT,Democrat,16556,376.0,0.2375249500998004,0.31648936170212766,0.07896441160232726
Ben Ray Luján,Democrat,10185,327.0,0.2608988159311087,0.3394495412844037,0.07855072535329499
Lee Zeldin R-NY,Republican,3588,529.0,0.29269347168179854,0.3686200378071834,0.07592656612538484
Jimmy Patronis,Republican,2428,365.0,0.23371335504885993,0.3095890410958904,0.07587568604703049
Bill Flores R-TX,Republican,11055,1304.0,0.22790095018715809,0.3029141104294479,0.0750131602422898
Adam B. Schiff,Democrat,14377,1666.0,0.5058738911532007,0.5804321728691476,0.07455828171594692
Pramila Jayapal,Democrat,35264,3196.0,0.41010999297917156,0.483729662077597,0.07361966909842543
"Casey, Robert Jr.",Democrat,15154,583.0,0.2895777320891982,0.36192109777015435,0.07234336568095617
Pete Stauber,Republican,6394,492.0,0.2753945321182485,0.3475609756097561,0.07216644349150758
Lauren Boebert,Republican,11455,2428.0,0.5172804532577904,0.5889621087314663,0.07168165547367589
Bradley Scott Schneider,Democrat,8703,373.0,0.23263558515699334,0.30294906166219837,0.07031347650520503
Andy Biggs,Republican,27309,3042.0,0.4670610379134176,0.537146614069691,0.07008557615627342
Nanette Diaz Barragán,Democrat,8394,624.0,0.2718209179834462,0.34134615384615385,0.06952523586270765
Ed Case,Democrat,4023,544.0,0.06306306306306306,0.1323529411764706,0.06928987811340753
