year,party,hour_local,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2022,Democrat,23,638,0.31053422727668806,0.29780564263322884,0.2394419306897205,0.2936407596239277,0.4200360513829442,0.5145905672303959,0.18505689071938045,0.15574547731562818,0.014410958440903777,0.061797278748065065
2022,Republican,0,390,0.46266378266736863,0.4897435897435897,0.384913044453312,0.4641931543246103,0.24795905001676427,0.3073061622261332,0.2024252479012387,0.17487719874494734,0.020024238061016508,0.03040627883521163
2022,Republican,1,708,0.4134558468989996,0.4194915254237288,0.34563615793752944,0.41344496906645556,0.25363418137020627,0.32749941321431875,0.1880898578579164,0.17157407077608136,0.014132588232798681,-0.018801656933157385
2022,Republican,2,1640,0.4559260273562381,0.4658536585365854,0.38497798834862074,0.45539466622143576,0.28502561736812176,0.3479994984249948,0.18855884183232285,0.19522153159274105,0.009704525372103706,0.02366852352408111
2022,Republican,3,3212,0.4518071465102311,0.46201743462017436,0.3886622017354065,0.44772731127425597,0.2964326780487158,0.3785544346257172,0.20670507149959325,0.19837585094127952,0.00693445783017646,0.019549642678074075
2022,Republican,4,5329,0.4667122378470165,0.4839557140176393,0.3953206426179744,0.46144337169050076,0.2963982503356555,0.3866720185186948,0.20948688919996072,0.20736338532283177,0.005421297408555129,0.03445473401485949
2022,Republican,5,6758,0.4558965937880034,0.4720331459011542,0.39170931965557054,0.4518662729701862,0.2964952544515363,0.38593695731247885,0.21192996615135906,0.20651801422979219,0.004802629167448204,0.023639089955846404
2022,Republican,6,7440,0.468093912396267,0.48413978494623655,0.39760740369774894,0.46191037598426543,0.29931104959702864,0.38094811687372393,0.21230433181554745,0.20602398830796442,0.004609291016302218,0.03583640856411002
2022,Republican,7,8864,0.4505959863210316,0.4644629963898917,0.3814946239427932,0.4457870631639796,0.3043950415623892,0.39105245187732146,0.20755509034942626,0.20218755987928616,0.004223433826004227,0.018338482488874597
2022,Republican,8,13059,0.4277338249800823,0.4426832069836894,0.36420794811776436,0.4247727700923052,0.32897171666983677,0.4078656066883661,0.21033992445481411,0.20075248158367476,0.0034562747211754905,-0.0045236788520747195
2022,Republican,9,15769,0.4338028602268794,0.44739679117255376,0.36849274304422197,0.4301334307922079,0.321668014548402,0.4082197008456446,0.21056797635483498,0.205098773719035,0.0031447932210981076,0.0015453563947224191
2022,Republican,10,16508,0.43480937789638113,0.4490550036346014,0.36352993244023624,0.4301952837328256,0.32291879011909896,0.4083150769414632,0.21420772343635958,0.19813807307113945,0.003057953354091532,0.0025518740642241355
2022,Republican,11,15887,0.4350964395937439,0.4481022219424687,0.36524322526618536,0.42992721975776277,0.32221269647715917,0.40853253480483953,0.21675655399331634,0.19626376523516165,0.003118475450658543,0.0028389357615868915
2022,Republican,12,14756,0.4276099090581365,0.4406343182434264,0.36090119934685905,0.4240463992963121,0.32694771506444403,0.406425863237718,0.21326719122614024,0.19700536677915795,0.0032397263944755695,-0.0046475947740204915
2022,Republican,13,13710,0.436784885372059,0.4539022611232677,0.3678065994065112,0.4325531437640492,0.31963616330638517,0.4024795738338913,0.21836786615128345,0.19780299638212542,0.003357681669890087,0.004527381539902009
2022,Republican,14,13025,0.43070619222209316,0.443531669865643,0.3549430147725186,0.42455902721761457,0.3281980162088879,0.40953243591220273,0.21139401619369075,0.18942286400546296,0.0034484598790568465,-0.0015513116100638324
2022,Republican,15,12440,0.4179369953293855,0.42877813504823153,0.34866204171279974,0.41208782679280803,0.3397350452898723,0.41737626956414936,0.20766153387342418,0.18729077873244684,0.00351402947119393,-0.0143205085027715
2022,Republican,16,10076,0.40415844087782504,0.41375545851528384,0.3354742155833123,0.3979100042937635,0.34694544398973604,0.4233929658195491,0.20959128015737502,0.1865121324233945,0.003887098589078026,-0.028099062954331955
