mo,party,n,civic,gratitude,polarizing,any_civic_lang,any_outgroup
2019-02-01,Democrat,22590,0.04696768481629039,0.1047808764940239,0.12093846834882692,0.06963258078795928,0.15334218680832226
2019-02-01,Republican,11888,0.04946164199192463,0.09429676985195155,0.0650235531628533,0.0635935397039031,0.09000672947510094
2019-03-01,Democrat,23705,0.03277789495886944,0.10997679814385151,0.1147015397595444,0.05146593545665471,0.14115165576882513
2019-03-01,Republican,11982,0.03747287598063762,0.11659155399766316,0.06559839759639459,0.052495409781338674,0.08980136871974628
2019-04-01,Democrat,19258,0.033856059819295875,0.10982448852424967,0.09969882646173019,0.051095648561636724,0.12052134178003947
2019-04-01,Republican,10158,0.03996849773577476,0.1105532585154558,0.06930498129553062,0.0508958456389053,0.09529434928135459
2019-05-01,Democrat,24559,0.034162628771529785,0.11690215399649823,0.11372612891404373,0.054684636996620385,0.1382385276273464
2019-05-01,Republican,12726,0.048247681911048244,0.12698412698412698,0.05814867201005815,0.06812824139556813,0.08282256797108282
2019-06-01,Democrat,25904,0.03551575046324892,0.10106547251389747,0.10697189623224213,0.0531964175416924,0.13384033353922173
2019-06-01,Republican,12225,0.05006134969325153,0.10552147239263804,0.0774642126789366,0.07370143149284254,0.1125562372188139
2019-07-01,Democrat,23786,0.0336752711679139,0.09110401076263348,0.1319263432271084,0.056461784242831915,0.15614226856133862
2019-07-01,Republican,11593,0.044078323126024326,0.09652376434055034,0.078926938669887,0.06529802467005952,0.10445958768222204
2019-08-01,Democrat,18291,0.03580996118309551,0.09496473675578153,0.12918921874145756,0.05795199825050571,0.16182822152971407
2019-08-01,Republican,8459,0.03522875044331481,0.13346731292114908,0.025062064073767584,0.04882373803050006,0.03842061709421918
2019-09-01,Democrat,22462,0.03334520523550886,0.10097052800284925,0.14001424628261064,0.056317335945151814,0.1702430771970439
2019-09-01,Republican,11711,0.0385961916147212,0.10639569635385535,0.08564597387071983,0.05524720348390402,0.11689864230210913
2019-10-01,Democrat,28903,0.03418330277133862,0.09476524928208145,0.13026329446770232,0.055322976853613814,0.1571463169913158
2019-10-01,Republican,14339,0.03256851942255387,0.08912755422274915,0.12560150638119813,0.05084036543692029,0.15677522839807517
2019-11-01,Democrat,28642,0.03788143286083374,0.10659171845541512,0.12614342573842607,0.05949305216116193,0.1562740032120662
2019-11-01,Republican,15068,0.0393549243429785,0.10120785771170693,0.12005574727900185,0.061521104327050706,0.15237589593841253
2019-12-01,Democrat,28672,0.04840959821428571,0.08220563616071429,0.13588169642857142,0.07359095982142858,0.16758510044642858
2019-12-01,Republican,16838,0.04085995961515619,0.07150492932652334,0.1889773132200974,0.06811972918398859,0.22853070435918754
2020-01-01,Democrat,24771,0.03693835533486738,0.0804166162044326,0.16345726858019458,0.06099874853659521,0.19801380646723993
2020-01-01,Republican,14564,0.029868168085690743,0.08115902224663554,0.15538313650096128,0.05211480362537765,0.18868442735512223
2020-02-01,Democrat,24977,0.03603315049845858,0.10109300556511991,0.15950674620650998,0.056692156784241506,0.18985466629298955
2020-02-01,Republican,13232,0.038165054413542926,0.1070888754534462,0.08471886336154777,0.0529776299879081,0.11192563482466747
2020-03-01,Democrat,33758,0.04126429290834765,0.0761301024942236,0.06164464719473903,0.05160258309141537,0.09221517862432609
2020-03-01,Republican,19663,0.04750038142704572,0.08086253369272237,0.052026649036260995,0.061079184254691554,0.06870772516909933
2020-04-01,Democrat,31933,0.027682961200012526,0.07039739454482824,0.06980239877242977,0.03654526665205274,0.09131619327967933
2020-04-01,Republican,17971,0.027433086639586,0.08947749151410606,0.05653552946413667,0.038061321017194366,0.07105892827332926
2020-05-01,Democrat,28168,0.03085061062198239,0.08804316955410395,0.08555808009088327,0.042850042601533654,0.10593581368929282
2020-05-01,Republican,15760,0.03191624365482233,0.09156091370558375,0.08229695431472081,0.0491751269035533,0.10463197969543148
2020-06-01,Democrat,29334,0.02761300879525465,0.06078270948387537,0.11014522397218245,0.04479443649007977,0.13339469557510056
2020-06-01,Republican,14035,0.04218026362664767,0.07445671535447096,0.07787673672960456,0.06483790523690773,0.09925187032418953
2020-07-01,Democrat,31722,0.02802471470903474,0.06030515099930647,0.13385032469579472,0.041327785133345944,0.1598890360002522
2020-07-01,Republican,14821,0.03886377437419877,0.07185749949396127,0.07846973888401593,0.05687875312057216,0.09466297820659875
2020-08-01,Democrat,27870,0.02465016146393972,0.056440617151058484,0.14144241119483317,0.03767491926803014,0.17377108001435235
2020-08-01,Republican,13397,0.0347092632678958,0.09838023438083153,0.10360528476524596,0.047995819959692466,0.13488094349481228
