mo,n,civic,gratitude,polarizing,any_civic_lang,any_outgroup,event
2013-05-01,18563,0.014221839142380004,0.06340569950977751,0.05855734525669342,0.01793891073641114,0.08856327102300275,
2011-04-01,5240,0.007061068702290076,0.0316793893129771,0.08110687022900763,0.010114503816793893,0.11450381679389313,
2023-01-01,15753,0.03173998603440614,0.08684060179013521,0.19082079603884974,0.048625658604710215,0.23690725576080746,
2014-04-01,19014,0.014252655937730094,0.061638792468707265,0.03881350583780372,0.019091195960870937,0.06305879877984642,
2022-04-01,39663,0.038549781912613774,0.08592390893275849,0.12674280815873737,0.05269394649925623,0.15571187252603183,
2016-01-01,12661,0.014769765421372719,0.059316009793855144,0.029776478951109707,0.020772450833267515,0.05386620330147698,
2023-03-01,19749,0.0328117879386298,0.08213074079700237,0.17266697047951796,0.05281280064813408,0.20983340928654615,
2019-05-01,37285,0.038970095212551965,0.12034330159581601,0.09475660453265389,0.05927316615260829,0.11932412498323723,Memorial Day; disaster-aid deal
2025-07-01,34632,0.023504273504273504,0.07542157542157542,0.23007623007623007,0.039674289674289674,0.2512416262416262,'One Big Beautiful Bill' passes
2019-01-01,36001,0.03724896530651926,0.08188661426071497,0.19196688980861643,0.06027610344157107,0.22791033582400488,
2019-03-01,35687,0.03435424664443635,0.11219771905735983,0.09821503628772382,0.05181158405021436,0.12391066775016113,
2011-03-01,5797,0.006382611695704675,0.03260307055373469,0.06675866827669484,0.008797653958944282,0.10677936863895118,
2014-12-01,11659,0.01689681790891157,0.06501415215713183,0.03285015867570117,0.02212882751522429,0.052748949309546274,
2014-06-01,18602,0.01687990538651758,0.05773572734114611,0.030695624126438018,0.022309429093645843,0.051768627029351685,
2021-03-01,46166,0.030087077069704978,0.08218169215439934,0.12628341203483082,0.04743750812286098,0.16369189446779014,
2024-08-01,26063,0.03545255726508844,0.1165637110079423,0.1695507040632314,0.0507616160841039,0.21018301807159576,
2017-06-01,25051,0.026505927907069578,0.06690351682567562,0.13735978603648558,0.03692467366572193,0.17248812422657778,
2017-10-01,28059,0.020385616023379308,0.060978652125877615,0.08072276274991981,0.027941124060016392,0.10178552336148829,
2018-11-01,17934,0.03724768595962975,0.1053864168618267,0.093732574997212,0.05235864837738374,0.1168729786996766,
2021-05-01,42050,0.03326991676575505,0.09405469678953626,0.11659928656361475,0.05774078478002378,0.14858501783590963,
2026-05-01,45214,0.02614234529128146,0.11131507940018578,0.14747644534878576,0.03954527358782678,0.16612111292962356,
2026-03-01,47508,0.021680559063736633,0.08158625915635262,0.20945945945945946,0.040435295108192305,0.23168729477140693,
2020-04-01,49904,0.02759297851875601,0.07726835524206477,0.06502484770759859,0.037091215133055466,0.0840213209361975,
2020-06-01,43369,0.03232723834997348,0.06520786737070258,0.09970255251446886,0.05128086882335309,0.1223454541262192,
2014-10-01,14208,0.009712837837837838,0.07453547297297297,0.02364864864864865,0.013161599099099098,0.043426238738738736,
2015-02-01,11360,0.017517605633802818,0.06382042253521127,0.06294014084507042,0.02420774647887324,0.0904049295774648,
2015-03-01,21708,0.022710521466740373,0.07471899760456975,0.031186659296112033,0.02892942693937719,0.05357471899760457,
2024-11-01,25383,0.04254816215577355,0.12283812000157586,0.09439388567151243,0.05574597171335145,0.11878028601820116,Post-election; Thanksgiving
2017-03-01,26130,0.015116724071947953,0.06421737466513586,0.19062380405663987,0.023842326827401453,0.23635667814772293,
2018-03-01,21629,0.03393591936751583,0.09695316473253503,0.07818207036848675,0.050210365712700544,0.10037449720282954,
2018-09-01,22895,0.03882943874208342,0.09264031447914392,0.09962873989954138,0.05232583533522603,0.12063769381961127,
2012-02-01,6596,0.010915706488781079,0.04381443298969072,0.06109763493026076,0.01637355973317162,0.0899029714978775,
2023-07-01,21773,0.04597437192853534,0.09736830018830663,0.1407247508381941,0.06448353465301061,0.17374730170394526,
2021-11-01,56903,0.06915276874681475,0.09753440064671458,0.1290265891077799,0.08206948667029858,0.1605890726323744,Bipartisan infrastructure bill signed
2025-03-01,32952,0.023943918426802623,0.07034474386987133,0.23983369749939307,0.041211459092012626,0.26908837096382615,DOGE cuts; CR fight
2019-08-01,26750,0.035626168224299065,0.10714018691588785,0.09626168224299066,0.05506542056074766,0.12280373831775701,August recess
2022-03-01,54413,0.04155257015786669,0.08213110837483689,0.12524580523036774,0.06470880120559425,0.16047635675298183,
2013-03-01,13626,0.016512549537648614,0.05885806546308528,0.043886687215617205,0.020548950535740497,0.07881990312637605,
2013-02-01,12288,0.025065104166666668,0.057291666666666664,0.048014322916666664,0.032877604166666664,0.08854166666666667,
2013-06-01,18152,0.019612163948876157,0.05437417364477744,0.04269501983252534,0.025176289114147203,0.06875275451740855,
2014-11-01,7708,0.01582771146860405,0.07719252724442138,0.04774260508562533,0.02400103788271925,0.08173326414115205,
2020-09-01,45940,0.03881149325206792,0.07960383108402264,0.12359599477579451,0.05616020896821942,0.15010883761427948,
2016-09-01,23090,0.016717193590298832,0.08436552620181897,0.039670853183196186,0.023949761801645732,0.05877003031615418,
2013-10-01,16565,0.02909749471777845,0.04539692121943858,0.13311198309689104,0.0397826743133112,0.18973739812858437,
