name,party,state,n,share_angry,mean_anger
Teresa Leger Fernandez,Democrat,NM,3850,0.26987012987012987,0.28183356525884434
Joe Kennedy D-MA,Democrat,MA,5226,0.26903941829314965,0.27717922675641454
Catherine Cortez Masto,Democrat,NV,15774,0.2683529859262077,0.2764163277264511
Katie Boyd Britt,Republican,AL,5060,0.26778656126482214,0.27106413826504683
Pete Sessions,Republican,TX,2012,0.2668986083499006,0.2693251949150826
Andrew R. Garbarino,Republican,NY,2253,0.2663115845539281,0.2711804154586531
Russ Fulcher,Republican,ID,3764,0.26567481402763016,0.27530532469453367
Stacey E. Plaskett,Democrat,VI,2443,0.2648383135489153,0.278779540026642
Brenda Lawrence D-MI,Democrat,MI,4558,0.2648091268100044,0.2763573567343352
"Phillips, Dean",Democrat,MN,3824,0.26464435146443516,0.2827093082553927
Peter DeFazio D-OR,Democrat,OR,3467,0.2642053648687626,0.2856417685794962
Al Green,Democrat,TX,5086,0.26386158081006683,0.2846194724143987
Bob Gibbs R-OH,Republican,OH,3746,0.2637479978643887,0.28016774072369
Markwayne Mullin R-OK,Republican,OK,4842,0.26290788930194137,0.2737729705796869
Gary J. Palmer,Republican,AL,3863,0.26274915868495985,0.27308150419122545
"Gallagher, Mike",Republican,WI,3537,0.2615210630477806,0.281586468396108
Richard Hudson,Republican,NC,10220,0.2611545988258317,0.26763132395614175
Michael T. McCaul,Republican,TX,8316,0.26082251082251084,0.27426031976759063
Christopher A. Coons,Democrat,DE,6867,0.2599388379204893,0.27464265465406557
Mike Quigley,Democrat,IL,19651,0.25968144114803315,0.27039372395089656
Michelle Fischbach,Republican,MN,3498,0.25929102344196686,0.2588506094088859
Eleanor Holmes Norton,Democrat,DC,2744,0.25911078717201164,0.28344991391829455
Doris O. Matsui,Democrat,CA,2679,0.25905188503172827,0.26916274203715157
Ron Estes,Republican,KS,3852,0.25778816199376947,0.25939612145869784
Jimmy Patronis,Republican,FL,2428,0.2574135090609555,0.2717485091163005
John Yarmuth D-KY,Democrat,KY,5060,0.25592885375494073,0.2708795267930291
"Sarbanes, John ",Democrat,MD,4710,0.25498938428874734,0.27312495830822775
Madeleine Dean,Democrat,PA,6387,0.2544230468138406,0.26949615128411536
Jennifer L. McClellan,Democrat,VA,3618,0.2542841348811498,0.2591999285305336
"Charles J. ""Chuck"" Fleischmann",Republican,TN,7038,0.2531969309462916,0.2598377848289837
Roger Williams,Republican,TX,8826,0.25186947654656694,0.2554474087078692
Adam Smith,Democrat,WA,10236,0.24931613911684253,0.2652535331698903
Dan Sullivan,Republican,AK,5433,0.2473771397018222,0.25729034930087397
Tim Ryan D-OH,Democrat,OH,9769,0.24721056402907154,0.2613625004804878
Greg Stanton,Democrat,AZ,6684,0.24700777977259125,0.25658583380336963
Bill Huizenga,Republican,MI,9704,0.24690849134377577,0.2645317795478642
Adriano Espaillat,Democrat,NY,14739,0.2464889069814777,0.2605771149974948
Juan Vargas,Democrat,CA,4695,0.24579339723109692,0.26282933228282224
Young Kim,Republican,CA,7994,0.2455591693770328,0.25022759343162976
Bradley Scott Schneider,Democrat,IL,8703,0.24520280363093186,0.2606622861358989
"Bowman, Jamaal",Democrat,NY,3335,0.2446776611694153,0.2585193459461185
Patrick Leahy D-VT,Democrat,VT,16556,0.24420149794636387,0.2703478507716061
William R. Keating,Democrat,MA,2921,0.2440944881889764,0.2618287094959269
David Price D-NC,Democrat,NC,5726,0.24397485155431367,0.26093322740907743
Marcy Kaptur,Democrat,OH,7263,0.2432878975629905,0.2524370477172842
Bill Foster,Democrat,IL,8881,0.24321585407048757,0.25651109571980374
Michael F. Bennet,Democrat,CO,13436,0.24292944328669247,0.25785249432617297
Roger F. Wicker,Republican,MS,13019,0.24141639142791305,0.2530825637359344
Mark Kelly,Democrat,AZ,7398,0.2411462557447959,0.24972124082183858
Dwight Evans,Democrat,PA,23351,0.24080339171769946,0.26421589821209224
Nikema Williams,Democrat,GA,6822,0.23922603342128407,0.25420268492824233
"Armstrong, Kelly",Republican,ND,4577,0.236836355691501,0.2519760948335412
Andy Barr,Republican,KY,7176,0.23564659977703456,0.2461019724213836
Paul Tonko,Democrat,NY,13739,0.23531552514739065,0.25434044180672805
"Gilbert Ray Cisneros, Jr.",Democrat,CA,3723,0.23395111469245233,0.24684758896491932
Troy A. Carter,Democrat,LA,3094,0.2330316742081448,0.24058732811681224
Maria Cantwell,Democrat,WA,12193,0.23300254244238497,0.2495280640493239
"Cardin, Benjamin",Democrat,MD,14034,0.23272053584152771,0.25352253959601734
James E. Risch,Republican,ID,6317,0.23254709514009814,0.2415680670408977
Jeanne Shaheen,Democrat,NH,16139,0.23186071008116985,0.24960388168402325
Bill Flores R-TX,Republican,TX,11055,0.2317503392130258,0.24535586947066795
Kenny Marchant R-TX,Republican,TX,3944,0.23149087221095335,0.26236219108260556
Margaret Wood Hassan,Democrat,NH,12823,0.230289323871169,0.24488931543249753
Pete Ricketts,Republican,NE,2646,0.23015873015873015,0.24473469085478908
John Garamendi,Democrat,CA,12118,0.23015349067502888,0.25689986616122595
Chris Stewart R-UT,Republican,UT,4246,0.23009891662741402,0.24870223722487972
Lori Trahan,Democrat,MA,10701,0.2294178114194935,0.24052750994594946
Susan Davis D-CA,Democrat,CA,2531,0.22915843540102726,0.2504121158519485
Sam Graves,Republican,MO,5647,0.22773153887019656,0.2482490341641848
"Romney, Mitt",Republican,UT,2753,0.22557210316018889,0.24314910112303378
"Eshoo, Anna ",Democrat,CA,3991,0.22550739163117015,0.24616617618739584
Kevin Cramer,Republican,ND,11657,0.22535815389894484,0.24054231669818424
Tammy Baldwin,Democrat,WI,22018,0.22527023344536287,0.24085443314629185
Mark Kirk R-IL,Republican,IL,4173,0.22501797268152407,0.24064327649477127
Grace Meng,Democrat,NY,13482,0.22466993027740692,0.23991683593588778
"Robert C. ""Bobby"" Scott",Democrat,VA,3362,0.2239738251041047,0.23072413929736996
Michael K. Simpson,Republican,ID,2417,0.22176251551510137,0.23538618775128542
Albio Sires D-NJ,Democrat,NJ,5558,0.2216624685138539,0.2414119807738052
"Kildee, Dan",Democrat,MI,8222,0.22135733398199953,0.23971894295437943
"Waltz, Michael",Republican,FL,3976,0.22082494969818914,0.23425080879615767
Chris Pappas,Democrat,NH,6893,0.22065863919918757,0.23082533606052308
Raphael G. Warnock,Democrat,GA,8412,0.22004279600570614,0.23545121960076218
Marc A. Veasey,Democrat,TX,7965,0.21933458882611426,0.23444127209036747
Maria Elvira Salazar,Republican,FL,9181,0.21838579675416622,0.24109602605815672
James R. Baird,Republican,IN,2705,0.2177449168207024,0.22211190559479532
Michael Lawler,Republican,NY,4328,0.21719038817005545,0.23094408302705619
Tim Scott,Republican,SC,14953,0.21587641275998126,0.22753410989793635
Gabe Vasquez,Democrat,NM,2281,0.21569487067075843,0.227213586799201
Mike Rogers,Republican,AL,8284,0.21547561564461612,0.2286784676827071
Cindy Hyde-Smith,Republican,MS,6546,0.2153987167736022,0.22222795647335244
Angie Craig,Democrat,MN,9434,0.21517913928344287,0.22767109051820633
Sylvia R. Garcia,Democrat,TX,11100,0.21504504504504504,0.2310680768161861
Suzanne Bonamici,Democrat,OR,11987,0.2149828981396513,0.23320092751955407
Joyce Beatty,Democrat,OH,13105,0.2149561236169401,0.23254154319548037
"Wexton, Jennifer",Democrat,VA,5283,0.21465076660988075,0.22677708338901503
Jacky Rosen,Democrat,NV,13097,0.21455295105749408,0.22748868444089634
Donna Edwards D-MD,Democrat,MD,3813,0.2129556779438762,0.23529015661813485
Joseph D. Morelle,Democrat,NY,8719,0.21252437206101618,0.22027968756305716
J. Luis Correa,Democrat,CA,2690,0.21226765799256506,0.23387792474022448
Alma S. Adams,Democrat,NC,8173,0.21191728863330478,0.225861136839686
André Carson,Democrat,IN,6921,0.21109666233203295,0.22443040563680394
Kathy Castor,Democrat,FL,12985,0.21101270696958027,0.22877635751023578
Troy Balderson,Republican,OH,3927,0.2108479755538579,0.22352286454608894
Ann Wagner,Republican,MO,5744,0.21082869080779945,0.2297362205086822
Josh Harder,Democrat,CA,5676,0.21071176885130374,0.22578263687665742
Thomas R. Suozzi,Democrat,NY,5972,0.21064969859343605,0.22862029642899684
Colleen Hanabusa D-HI,Democrat,HI,2375,0.20926315789473685,0.2287683117196552
Neal P. Dunn,Republican,FL,2113,0.20823473734027448,0.22281569594114498
Josh Gottheimer,Democrat,NJ,13508,0.20802487414865264,0.22759504281475987
Carol D. Miller,Republican,WV,3647,0.20784206196874144,0.21684203950702544
Ryan K. Zinke,Republican,MT,2164,0.20748613678373382,0.22561802127585331
"Eric A. ""Rick"" Crawford",Republican,AR,8294,0.20737882806848323,0.2278914754128491
Frederica S. Wilson,Democrat,FL,19042,0.20727864720092426,0.22697189875011778
Lisa Blunt Rochester,Democrat,DE,7038,0.20659278204035236,0.2214935350908815
Bryan Steil,Republican,WI,7116,0.20629567172568858,0.2219398240060815
"Cardenas, Tony",Democrat,CA,10262,0.2061001754044046,0.2253595149618541
Tim Walberg,Republican,MI,7971,0.2059967381758876,0.21890464989275554
Darren Soto,Democrat,FL,10206,0.20507544581618656,0.21993230413917894
"Luetkemeyer, Blaine",Republican,MO,3448,0.20417633410672853,0.2201241911415269
Tom Marino R-PA,Republican,PA,2813,0.2040526128688233,0.22954750742476568
Mike Crapo,Republican,ID,4017,0.20388349514563106,0.22174665893439388
Lloyd Smucker,Republican,PA,6778,0.20374741811743877,0.21686774735949332
Vicky Hartzler R-MO,Republican,MO,8628,0.20352341214649977,0.21835782739988369
Debbie Dingell,Democrat,MI,6882,0.2034292356873002,0.22297133077804807
Pat Toomey R-PA,Republican,PA,5718,0.20339279468345575,0.2230358261624159
Steve Israel D-NY,Democrat,NY,3168,0.2023358585858586,0.22089510579620525
Thom Tillis,Republican,NC,8188,0.20188080117244747,0.2186527963285596
David Kustoff,Republican,TN,4363,0.20077928031171213,0.20300651565424666
Marcia Fudge D-OH,Democrat,OH,6528,0.19929534313725492,0.21832945571359055
Marie Newman D-IL,Democrat,IL,2488,0.1989549839228296,0.22190010264890953
"Payne Jr., Donald",Democrat,NJ,6770,0.1983751846381093,0.21784717790473615
Danny K. Davis,Democrat,IL,4588,0.1979075850043592,0.22750159647024853
Mike Enzi R-WY,Republican,WY,3543,0.19700818515382446,0.22217632342769228
Elissa Slotkin,Democrat,MI,5620,0.19697508896797153,0.22429050183523566
Jared F. Golden,Democrat,ME,3601,0.19605665093029714,0.22276271687990215
Dina Titus,Democrat,NV,17967,0.19574775978182224,0.21115496096970682
Robert Pittenger R-NC,Republican,NC,6189,0.1951850056551947,0.22729955394419762
Louie Gohmert R-TX,Republican,TX,8451,0.1947698497219264,0.2304738373579117
Pete King R-NY,Republican,NY,2692,0.19465081723625557,0.22656982332360093
Julia Letlow,Republican,LA,2439,0.1943419434194342,0.20111558274829905
"Manning, Kathy ",Democrat,NC,2424,0.1943069306930693,0.21382692928323
Salud O. Carbajal,Democrat,CA,8224,0.19382295719844359,0.21579195990072925
Steven Horsford,Democrat,NV,11327,0.19307848503575528,0.2116486994077311
Jay Obernolte,Republican,CA,2711,0.19254887495389156,0.2135988984408825
"Johnson, Bill",Republican,OH,7907,0.19198178828885798,0.2099012842632602
Susie Lee,Democrat,NV,10657,0.1915173125645116,0.2083977649744383
Terri A. Sewell,Democrat,AL,11288,0.1904677533664068,0.20396767391800627
Suzan K. DelBene,Democrat,WA,10706,0.1903605454885111,0.20958749021710743
"Mooney, Alex",Republican,WV,2542,0.18922108575924468,0.20217656721650418
Orrin Hatch R-UT,Republican,UT,6994,0.1875893623105519,0.22530318900026927
Jim Cooper D-TN,Democrat,TN,6033,0.1873031659207691,0.21545911595950418
