year,season,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2013,Winter,33073,0.18324025215206988,0.14966891422005865,0.12610947596573396,0.1921794796584276,0.4907048601838204,0.48914366134184756,0.09887674868645986,0.11800788495725618,0.0015276216294750468,-0.0237971859065442
2014,Fall,39176,0.15235598713162485,0.11895037778231571,0.11548605886188314,0.15788483005177747,0.5269535795059122,0.5317394894294509,0.11672862511028721,0.1063323860362868,0.0012924127829283514,-0.014396957825040801
2014,Spring,59012,0.16555145949261868,0.13646377008066157,0.11703454351542054,0.1711027067478049,0.5258054400359637,0.5159415507053446,0.094486081190085,0.10864715108664261,0.0011151218679718341,-0.0012014854640469697
2014,Summer,50515,0.174368715708558,0.14668910224685736,0.12886587536571514,0.17926897634039982,0.510218476404318,0.5148647151745087,0.11099130161206881,0.1094610467703581,0.0012465220064134257,0.007615770751892348
2014,Winter,40852,0.1728776541612651,0.1435425438167042,0.12628742422537134,0.18084594266157034,0.5129690909101517,0.5110638844589354,0.09749600398846543,0.11748015022440907,0.0013582941637965602,0.0061247092045994544
2015,Fall,35058,0.1889614424051422,0.16506931370871128,0.14654190958911545,0.18872053674040196,0.5111095829583522,0.5396005301949613,0.12774140393525543,0.11639175879269283,0.0015836580104103242,0.020989904662206404
2015,Spring,65605,0.14842943421356458,0.11803978355308284,0.10355290653258034,0.14941414330167008,0.5566290558847131,0.5461859673348095,0.09390667278711617,0.09321626951018978,0.0010012474314458864,-0.01954210352937122
2015,Summer,59940,0.16547041482018732,0.13682015348682014,0.12207188452211175,0.16625844981154836,0.5330058988810329,0.5392780813555555,0.1051950434233616,0.10178585449706926,0.0011108846175020112,-0.0025011229227484832
2015,Winter,39802,0.1854609335618974,0.1579820109542234,0.1327841430111467,0.18468468253109344,0.5111754804896925,0.5260558278127138,0.1239712054883432,0.10327913554869053,0.0014388786125501785,0.01748939581896161
2016,Fall,43569,0.18319359421001127,0.16121554316142211,0.14395952835891443,0.18339300909308953,0.519773708194809,0.5441341029314694,0.13045928520952288,0.12382549114390266,0.0014179622204426557,-0.0009736705346517771
2016,Spring,70047,0.16308619752504147,0.13540908247319658,0.1229012059205879,0.16507933771290303,0.5420497836405931,0.5456442161236669,0.11154688333285037,0.10740182766874357,0.0010381496512701096,-0.02108106721962158
2016,Summer,59405,0.20997732941830005,0.19000084167999326,0.1578780753351352,0.20755628621549496,0.4886001079062985,0.514079922314521,0.16229119206971224,0.12960497692264833,0.0012816942531426096,0.025810064673637
2016,Winter,43479,0.18384160120869564,0.157754318176591,0.1381871611465394,0.183661143362426,0.5162944410439463,0.5350435770486414,0.12171190426779464,0.11837478915854734,0.001389320241466529,-0.00032566353596741315
2017,Fall,77278,0.26275251745446043,0.2434198607624421,0.2080270204162303,0.2628162332926145,0.41977057652001115,0.4873558467200907,0.14688850195493544,0.14594919300607553,0.0012460444722533737,-0.026065692659657247
