mo,distance,biggest_gap,gap_sign,gap_anger,gap_disgust,gap_fear,gap_sadness,gap_joy,gap_optimism,gap_love,gap_trust,gap_anticipation,gap_pessimism,gap_surprise
2012-02-01,0.1741611325008524,joy,Democrats higher,-0.055798357856466,-0.0690330215795372,-7.81022256524655e-05,-0.0354077106803361,0.10393281069612764,0.09609936631470944,0.020106935698487663,0.020848049414435105,0.0016147000595216343,-0.01784393178022095,-0.0015207432410761362
2012-03-01,0.08500058911631649,joy,Democrats higher,-0.012535916334943775,-0.023616399275029176,-0.003562715338274819,-0.002685114995695015,0.05244696187965947,0.04994366885048124,0.017080932724889836,0.0055640071345248315,-0.028579043340130783,-0.004400771198609717,-0.00929596911284894
2012-04-01,0.07479726518753249,optimism,Democrats higher,-0.0027723847219397746,-0.012287137100823381,0.037892958173368824,0.004344616543258142,0.00664236514873795,0.056098198813644806,-3.941100547187604e-05,0.010855358734134693,-0.022439961337520686,0.005351674018261851,-0.01183458834564588
2012-05-01,0.07404916213300075,optimism,Democrats higher,0.0015378536917034502,-0.006458083549289673,0.00602932232587014,-0.0013245243072812496,0.031041698915374116,0.06302728495512872,0.008063040911131594,0.011660069987718902,-0.013949595047716923,0.00010488172007730445,-0.008336767943970355
2012-06-01,0.20750134987572588,optimism,Democrats higher,-0.059593998713284885,-0.07127239066918539,-0.008147691885080424,-0.03211025553454934,0.12398955124054822,0.12685081658970976,0.019953535892085733,0.024680905356674318,-0.022109926160667925,-0.017294207892975498,-0.008269874288882956
2012-07-01,0.16355647835167642,joy,Democrats higher,-0.04595134242357851,-0.06356317920101046,-0.027134882998328294,-0.02918154562077198,0.10253526073274594,0.08510349409706575,0.01865762365476553,0.02258064349764477,0.002921742283590767,-0.019646300724620133,-0.001569400387880046
2012-08-01,0.14591666314725782,joy,Democrats higher,-0.03812196471878526,-0.04884308061820347,-0.012386961248023257,-0.02047156897372704,0.0901927027560041,0.0878987651236331,0.01188923090602026,0.025765722142772243,0.0028061922881059687,-0.013605033150944412,-0.0045940710229291915
2012-09-01,0.1923349893271927,joy,Democrats higher,-0.05453922908234457,-0.07271302147456044,-0.024268889594181275,-0.05001674048916316,0.10889961928719133,0.1052455942791432,0.00558210709334106,0.03204833847055864,0.030059267522332844,-0.027252683851983414,0.0003119805034767359
2012-10-01,0.17273065215624014,optimism,Democrats higher,-0.053169880532592154,-0.06658802566927491,-0.038759212594133674,-0.037106180357598606,0.07978237341841393,0.10760012560162363,0.01212690563559958,0.029738574589194128,0.016869289183062908,-0.019173219445610956,-0.008311894861367533
2012-11-01,0.10496616237787021,optimism,Democrats higher,-0.010857393246369418,-0.023795914397574003,-0.032169441594494155,-0.02065734929595134,0.0586134738181216,0.06982480842446642,0.005858821291810645,0.01420428911182614,-0.010657346861723926,-0.013122710282338662,-0.006265165109544418
