name,party,era,band,n,share_angry
Chris Van Hollen,Democrat,Trump,09-17 work,2440,0.603688524590164
Janice D. Schakowsky,Democrat,Trump II,09-17 work,290,0.603448275862069
Christopher Murphy,Democrat,Trump,00-04 night,320,0.603125
Elise M. Stefanik,Republican,Biden,09-17 work,8091,0.6030156964528488
Ruben Gallego,Democrat,Trump II,00-04 night,670,0.6029850746268657
Robin L. Kelly,Democrat,Trump II,09-17 work,994,0.60261569416499
Ralph Norman,Republican,Biden,05-08 morning,478,0.602510460251046
"Bishop, Dan",Republican,Biden,18-20 evening,410,0.6024390243902439
Richard Blumenthal,Democrat,Trump,21-23 late,470,0.6021276595744681
"Lesko, Debbie",Republican,Biden,09-17 work,3686,0.6020075963103635
"Banks, Jim",Republican,Biden,09-17 work,3143,0.6016544702513522
Andrew S. Clyde,Republican,Trump II,05-08 morning,386,0.6010362694300518
Jasmine Crockett,Democrat,Trump II,05-08 morning,496,0.6008064516129032
Marsha Blackburn,Republican,Biden,05-08 morning,3335,0.6
Andy Biggs,Republican,Biden,09-17 work,5008,0.5998402555910544
Steve Cohen,Democrat,Trump II,09-17 work,562,0.599644128113879
Ilhan Omar,Democrat,Trump II,05-08 morning,684,0.5994152046783626
Yassamin Ansari,Democrat,Trump II,09-17 work,1972,0.5993914807302231
Chip Roy,Republican,Biden,09-17 work,4724,0.5990685859441152
Ruben Gallego,Democrat,Trump II,05-08 morning,710,0.5985915492957746
Guy Reschenthaler,Republican,Trump,09-17 work,346,0.5982658959537572
Bernard Sanders,Independent,Trump,21-23 late,301,0.5980066445182725
Mary E. Miller,Republican,Biden,09-17 work,2323,0.5979337064141197
Doris O. Matsui,Democrat,Trump II,05-08 morning,268,0.5970149253731343
Keith Self,Republican,Biden,09-17 work,865,0.5965317919075145
"Gaetz, Matt",Republican,Biden,21-23 late,218,0.5963302752293578
Billy Long R-MO,Republican,Biden,05-08 morning,265,0.5962264150943396
Brandon Gill,Republican,Trump II,05-08 morning,965,0.5958549222797928
Ronny Jackson,Republican,Biden,18-20 evening,282,0.5957446808510638
Ron Johnson,Republican,Biden,18-20 evening,425,0.5952941176470589
Linda T. Sánchez,Democrat,Trump II,09-17 work,237,0.5949367088607594
Joaquin Castro,Democrat,Trump II,05-08 morning,475,0.5936842105263158
Chip Roy,Republican,Trump II,09-17 work,1008,0.5932539682539683
"Randy K. Weber, Sr.",Republican,Biden,09-17 work,816,0.5931372549019608
Veronica Escobar,Democrat,Trump II,09-17 work,951,0.5930599369085173
Claudia Tenney,Republican,Biden,05-08 morning,1190,0.592436974789916
Eric Burlison,Republican,Trump II,09-17 work,2075,0.592289156626506
Tim Kaine,Democrat,Trump II,09-17 work,1082,0.5914972273567468
Charles E. Schumer,Democrat,Trump,05-08 morning,1035,0.591304347826087
Jim Jordan,Republican,Trump,05-08 morning,641,0.5912636505460218
Deborah K. Ross,Democrat,Trump II,09-17 work,1053,0.5906932573599241
Linda T. Sánchez,Democrat,Trump II,05-08 morning,283,0.5901060070671378
Catherine Cortez Masto,Democrat,Trump II,00-04 night,422,0.590047393364929
Bonnie Watson Coleman,Democrat,Trump II,09-17 work,604,0.5894039735099338
Suzan K. DelBene,Democrat,Trump II,09-17 work,460,0.5891304347826087
Catherine Cortez Masto,Democrat,Trump II,09-17 work,952,0.5882352941176471
Ted Cruz,Republican,Biden,00-04 night,2289,0.5880297072957623
Chris Van Hollen,Democrat,Trump,05-08 morning,983,0.5879959308240081
Wesley Hunt,Republican,Biden,05-08 morning,529,0.5879017013232514
Jason Smith,Republican,Biden,00-04 night,228,0.5877192982456141
Richard Blumenthal,Democrat,Trump,09-17 work,7164,0.5873813512004467
Jacky Rosen,Democrat,Trump II,05-08 morning,681,0.5873715124816447
Brad Knott,Republican,Trump II,05-08 morning,373,0.5871313672922251
W. Gregory Steube,Republican,Trump II,05-08 morning,431,0.5870069605568445
Veronica Escobar,Democrat,Trump II,05-08 morning,646,0.586687306501548
Cory A. Booker,Democrat,Trump II,09-17 work,1759,0.5861284820920978
Andrew Ogles,Republican,Biden,09-17 work,867,0.5859284890426759
Summer L. Lee,Democrat,Trump II,09-17 work,734,0.5858310626702997
Rashida Tlaib,Democrat,Trump II,05-08 morning,485,0.5855670103092784
"Green, Mark",Republican,Biden,09-17 work,3614,0.5843940232429441
Ted Lieu,Democrat,Trump,18-20 evening,476,0.5840336134453782
Jacky Rosen,Democrat,Trump II,09-17 work,560,0.5839285714285715
