name,party,era,band,n,share_angry
John B. Larson,Democrat,Biden,18-20 evening,323,0.23839009287925697
Jake Auchincloss,Democrat,Biden,09-17 work,1590,0.23836477987421384
Suzanne Bonamici,Democrat,Trump,18-20 evening,256,0.23828125
Jon Husted,Republican,Trump II,05-08 morning,361,0.23822714681440443
Katherine Clark D-MA,Democrat,Obama,09-17 work,1172,0.2380546075085324
Joyce Beatty,Democrat,Trump,05-08 morning,387,0.23772609819121446
Karen Bass D-CA,Democrat,Biden,09-17 work,392,0.2372448979591837
Val Demings D-FL,Democrat,Biden,18-20 evening,270,0.23703703703703705
Jahana Hayes,Democrat,Trump II,09-17 work,701,0.23680456490727533
Carlos A. Gimenez,Republican,Trump II,00-04 night,300,0.23666666666666666
Orrin Hatch R-UT,Republican,Obama,05-08 morning,427,0.23653395784543327
Liz Cheney R-WY,Republican,Trump,09-17 work,597,0.23618090452261306
Kevin Brady R-TX,Republican,Trump,09-17 work,3152,0.2357233502538071
Suzan K. DelBene,Democrat,Trump,05-08 morning,560,0.2357142857142857
Norma J. Torres,Democrat,Biden,00-04 night,310,0.23548387096774193
Rand Paul,Republican,Obama,09-17 work,4192,0.23544847328244276
David P. Joyce,Republican,Biden,09-17 work,1540,0.23506493506493506
Steve Cohen,Democrat,Obama,18-20 evening,647,0.23493044822256567
Brett Guthrie,Republican,Biden,09-17 work,1401,0.23483226266952176
Lori Trahan,Democrat,Trump,05-08 morning,260,0.23461538461538461
Brett Guthrie,Republican,Biden,18-20 evening,307,0.23452768729641693
Mariannette Miller-Meeks,Republican,Trump II,05-08 morning,713,0.23422159887798036
Dave Brat R-VA,Republican,Obama,09-17 work,1076,0.2342007434944238
Elijah Cummings D-MD,Democrat,Obama,09-17 work,2580,0.23410852713178296
Roger Williams,Republican,Obama,09-17 work,1116,0.23387096774193547
Frederica S. Wilson,Democrat,Biden,18-20 evening,492,0.23373983739837398
Jimmy Patronis,Republican,Trump II,09-17 work,1228,0.23371335504885993
Francis Rooney R-FL,Republican,Trump,09-17 work,368,0.23369565217391305
William R. Timmons IV,Republican,Trump II,09-17 work,578,0.23356401384083045
Orrin Hatch R-UT,Republican,Obama,09-17 work,2651,0.23349679366276876
Ro Khanna,Democrat,Biden,18-20 evening,257,0.23346303501945526
Bernard Sanders,Independent,Obama,05-08 morning,2827,0.23346303501945526
Robert J. Wittman,Republican,Biden,05-08 morning,266,0.23308270676691728
Al Green,Democrat,Trump II,09-17 work,399,0.23308270676691728
"Lee, Barbara",Democrat,Obama,09-17 work,4072,0.23305500982318272
Vicente Gonzalez,Democrat,Trump II,05-08 morning,292,0.2328767123287671
James P. McGovern,Democrat,Obama,09-17 work,3865,0.23285899094437257
Elijah Cummings D-MD,Democrat,Obama,05-08 morning,271,0.23247232472324722
Rosa L. DeLauro,Democrat,Biden,09-17 work,1459,0.23235092529129542
Geoff Davis R-KY,Republican,Obama,09-17 work,590,0.23220338983050848
Ashley Hinson,Republican,Trump II,09-17 work,996,0.2319277108433735
Mark Alford,Republican,Trump II,05-08 morning,854,0.23185011709601874
Sharice Davids,Democrat,Trump II,05-08 morning,729,0.23182441700960219
Thomas R. Suozzi,Democrat,Trump II,09-17 work,738,0.23170731707317074
Tracey Mann,Republican,Trump II,09-17 work,298,0.23154362416107382
Mario Diaz-Balart,Republican,Trump,05-08 morning,307,0.23127035830618892
Jason Smith,Republican,Obama,09-17 work,1471,0.23113528212100612
Lloyd Smucker,Republican,Trump,18-20 evening,225,0.2311111111111111
Daniel Meuser,Republican,Trump II,09-17 work,805,0.231055900621118
Danny K. Davis,Democrat,Trump,09-17 work,2118,0.23087818696883852
James Lankford,Republican,Obama,09-17 work,737,0.23066485753052918
Brian J. Mast,Republican,Trump II,09-17 work,1102,0.23049001814882034
Seth Magaziner,Democrat,Biden,05-08 morning,217,0.2304147465437788
Brad Finstad,Republican,Trump II,09-17 work,430,0.2302325581395349
Young Kim,Republican,Biden,09-17 work,3508,0.23004561003420754
Edward J. Markey,Democrat,Obama,09-17 work,3479,0.22995113538373096
Michael Lawler,Republican,Biden,18-20 evening,348,0.22988505747126436
Jay Obernolte,Republican,Biden,05-08 morning,536,0.2294776119402985
Margaret Wood Hassan,Democrat,Trump,18-20 evening,959,0.22940563086548488
Mark Kirk R-IL,Republican,Obama,09-17 work,3313,0.22939933594929068
Darin LaHood,Republican,Biden,09-17 work,1409,0.22924059616749468
Michelle Fischbach,Republican,Trump II,05-08 morning,384,0.22916666666666666
Mark DeSaulnier,Democrat,Trump,18-20 evening,380,0.22894736842105262
Lloyd Doggett,Democrat,Obama,09-17 work,2171,0.22892676186089359
"Jesús G. ""Chuy"" García",Democrat,Biden,09-17 work,4519,0.22881168400088514
Tim Burchett,Republican,Trump,09-17 work,1805,0.22880886426592797
Bradley Scott Schneider,Democrat,Trump,09-17 work,2676,0.22869955156950672
Anthony Brown D-MD,Democrat,Biden,09-17 work,1325,0.22867924528301886
"Johnson, Bill",Republican,Trump,18-20 evening,267,0.22846441947565543
Mitch McConnell,Republican,Trump,18-20 evening,267,0.22846441947565543
Angie Craig,Democrat,Biden,05-08 morning,688,0.22819767441860464
John Joyce,Republican,Trump,09-17 work,767,0.22816166883963493
"Brown, Sherrod",Democrat,Biden,18-20 evening,263,0.22813688212927757
Val Demings D-FL,Democrat,Biden,09-17 work,3566,0.22798653954010095
Pete Ricketts,Republican,Biden,05-08 morning,215,0.22790697674418606
Vince Fong,Republican,Trump II,00-04 night,237,0.22784810126582278
Jeb Hensarling R-TX,Republican,Obama,09-17 work,496,0.22782258064516128
Mark Takano,Democrat,Biden,09-17 work,1463,0.22761449077238552
Lois Frankel,Democrat,Biden,05-08 morning,268,0.22761194029850745
Stacey E. Plaskett,Democrat,Trump,09-17 work,268,0.22761194029850745
Ted Deutch D-FL,Democrat,Obama,18-20 evening,413,0.22760290556900725
Glenn Grothman,Republican,Biden,09-17 work,892,0.22757847533632286
Mike  Rogers R-MI,Republican,Obama,09-17 work,857,0.22753792298716452
Jim Costa,Democrat,Trump II,05-08 morning,233,0.22746781115879827
Jon Husted,Republican,Trump II,09-17 work,730,0.2273972602739726
Jared Huffman,Democrat,Obama,09-17 work,1082,0.22735674676524953
Catherine Cortez Masto,Democrat,Trump,05-08 morning,1483,0.227242076871207
"Henry C. ""Hank"" Johnson, Jr.",Democrat,Biden,05-08 morning,335,0.22686567164179106
John B. Larson,Democrat,Biden,09-17 work,3150,0.22666666666666666
Scott Garrett R-NJ,Republican,Obama,09-17 work,578,0.22664359861591696
Scott H. Peters,Democrat,Trump,05-08 morning,406,0.22660098522167488
Young Kim,Republican,Biden,18-20 evening,491,0.22606924643584522
Mike Quigley,Democrat,Biden,09-17 work,3548,0.22604284103720407
Val T. Hoyle,Democrat,Biden,09-17 work,1102,0.22595281306715065
Bill Cassidy,Republican,Trump,09-17 work,2886,0.2259182259182259
Dusty Johnson,Republican,Biden,05-08 morning,248,0.22580645161290322
"Eshoo, Anna ",Democrat,Biden,05-08 morning,257,0.22568093385214008
Mike Lee,Republican,Trump,09-17 work,1371,0.22538293216630198
Mike Levin,Democrat,Trump,09-17 work,2025,0.22469135802469137
Jimmy Gomez,Democrat,Biden,09-17 work,2996,0.2246328437917223
Mark Takano,Democrat,Biden,05-08 morning,877,0.22462941847206386
Mark Kirk R-IL,Republican,Obama,18-20 evening,601,0.22462562396006655
Bernard Sanders,Independent,Obama,00-04 night,601,0.22462562396006655
Amy Klobuchar,Democrat,Biden,05-08 morning,1501,0.22451698867421718
Mike Honda D-CA,Democrat,Obama,09-17 work,1573,0.22441195168467895
Peter DeFazio D-OR,Democrat,Obama,05-08 morning,205,0.22439024390243903
Jonathan L. Jackson,Democrat,Biden,09-17 work,410,0.22439024390243903
Al Green,Democrat,Trump II,05-08 morning,205,0.22439024390243903
Mike Haridopolos,Republican,Trump II,09-17 work,361,0.22437673130193905
Cynthia M. Lummis,Republican,Trump II,09-17 work,1168,0.2243150684931507
Madeleine Dean,Democrat,Biden,18-20 evening,330,0.22424242424242424
Mike Flood,Republican,Biden,09-17 work,1004,0.2241035856573705
Maria Elvira Salazar,Republican,Trump II,05-08 morning,1416,0.22387005649717515
Richard Hudson,Republican,Obama,21-23 late,210,0.22380952380952382
Erin Houchin,Republican,Trump II,05-08 morning,331,0.22356495468277945
Michelle Grisham D-NM,Democrat,Obama,18-20 evening,273,0.22344322344322345
Madeleine Dean,Democrat,Biden,09-17 work,2238,0.22341376228775692
Mario Diaz-Balart,Republican,Trump II,05-08 morning,855,0.22339181286549709
Amy Klobuchar,Democrat,Biden,00-04 night,556,0.22302158273381295
Bill Huizenga,Republican,Obama,09-17 work,3830,0.22297650130548302
"Jesús G. ""Chuy"" García",Democrat,Biden,05-08 morning,634,0.222397476340694
Alan Lowenthal D-CA,Democrat,Biden,09-17 work,1138,0.22231985940246046
Neal P. Dunn,Republican,Biden,05-08 morning,261,0.2222222222222222
"Eric A. ""Rick"" Crawford",Republican,Trump II,05-08 morning,207,0.2222222222222222
Joe Crowley D-NY,Democrat,Obama,09-17 work,2604,0.22196620583717358
Young Kim,Republican,Biden,05-08 morning,1358,0.22164948453608246
Dave Brat R-VA,Republican,Trump,09-17 work,379,0.22163588390501318
August Pfluger,Republican,Trump II,09-17 work,890,0.22134831460674156
Carlos A. Gimenez,Republican,Trump II,18-20 evening,208,0.22115384615384615
Katie Boyd Britt,Republican,Trump II,09-17 work,1488,0.2211021505376344
Rand Paul,Republican,Obama,00-04 night,484,0.22107438016528927
Donna Edwards D-MD,Democrat,Obama,09-17 work,2707,0.22090875507942373
Hillary J. Scholten,Democrat,Trump II,09-17 work,1494,0.22088353413654618
Grace Meng,Democrat,Biden,18-20 evening,412,0.220873786407767
Jason Crow,Democrat,Biden,05-08 morning,829,0.22074788902291917
Kirsten E. Gillibrand,Democrat,Biden,09-17 work,1651,0.2204724409448819
Sara Jacobs,Democrat,Biden,00-04 night,227,0.22026431718061673
Jon Husted,Republican,Trump II,00-04 night,218,0.22018348623853212
Rick W. Allen,Republican,Trump II,09-17 work,327,0.22018348623853212
Mike Honda D-CA,Democrat,Obama,05-08 morning,268,0.22014925373134328
Jack Reed,Democrat,Trump,05-08 morning,209,0.22009569377990432
Kathy Castor,Democrat,Trump,21-23 late,309,0.22006472491909385
Madeleine Dean,Democrat,Biden,05-08 morning,359,0.2200557103064067
Vern Buchanan,Republican,Trump II,09-17 work,838,0.21957040572792363
"Robert C. ""Bobby"" Scott",Democrat,Biden,05-08 morning,205,0.21951219512195122
Steve Womack,Republican,Biden,09-17 work,2583,0.21951219512195122
Gregory W. Meeks,Democrat,Biden,09-17 work,1695,0.21946902654867256
Thomas R. Suozzi,Democrat,Biden,09-17 work,1531,0.2194644023514043
Luis Gutierrez D-IL,Democrat,Obama,09-17 work,3001,0.21926024658447185
Nathaniel Moran,Republican,Trump II,05-08 morning,406,0.21921182266009853
Maria Elvira Salazar,Republican,Trump II,00-04 night,315,0.21904761904761905
Mike Thompson,Democrat,Obama,09-17 work,1443,0.218988218988219
Mary Gay Scanlon,Democrat,Biden,18-20 evening,708,0.2189265536723164
Joe Courtney,Democrat,Trump,18-20 evening,823,0.2187120291616039
Deb Fischer,Republican,Biden,05-08 morning,503,0.21868787276341947
Bryan Steil,Republican,Trump II,05-08 morning,590,0.21864406779661016
Pete Aguilar,Democrat,Biden,09-17 work,627,0.21850079744816586
Aaron Bean,Republican,Trump II,05-08 morning,238,0.2184873949579832
Nancy Pelosi,Democrat,Biden,09-17 work,2824,0.2184844192634561
Ami Bera,Democrat,Trump,05-08 morning,618,0.21844660194174756
Gary C. Peters,Democrat,Trump,09-17 work,3471,0.21838087006626333
Vince Fong,Republican,Trump II,09-17 work,371,0.2183288409703504
Neal P. Dunn,Republican,Biden,09-17 work,962,0.2182952182952183
"Casey, Robert Jr.",Democrat,Biden,18-20 evening,518,0.21814671814671815
Frederica S. Wilson,Democrat,Trump,18-20 evening,610,0.2180327868852459
Mike Haridopolos,Republican,Trump II,05-08 morning,211,0.21800947867298578
John Kennedy,Republican,Trump,05-08 morning,404,0.21782178217821782
Young Kim,Republican,Biden,00-04 night,368,0.21739130434782608
Richard McCormick,Republican,Trump II,09-17 work,764,0.21727748691099477
"Lamborn, Doug",Republican,Obama,09-17 work,1694,0.21723730814639905
Doris O. Matsui,Democrat,Trump,09-17 work,258,0.21705426356589147
Elise M. Stefanik,Republican,Trump,00-04 night,387,0.21705426356589147
Josh Harder,Democrat,Biden,05-08 morning,318,0.2169811320754717
Catherine Cortez Masto,Democrat,Trump,18-20 evening,461,0.21691973969631237
Sylvia R. Garcia,Democrat,Trump,05-08 morning,438,0.21689497716894976
James Lankford,Republican,Trump,09-17 work,1291,0.2168861347792409
Bob Corker R-TN,Republican,Obama,18-20 evening,226,0.2168141592920354
Alan Lowenthal D-CA,Democrat,Biden,05-08 morning,226,0.2168141592920354
"Waltz, Michael",Republican,Trump,09-17 work,2734,0.21653255303584493
Mark Pocan,Democrat,Obama,09-17 work,1677,0.21645796064400716
Jeff Crank,Republican,Trump II,05-08 morning,319,0.21630094043887146
Maria Elvira Salazar,Republican,Biden,09-17 work,3658,0.21623838162930564
Troy Balderson,Republican,Trump II,09-17 work,259,0.21621621621621623
Adrian Smith,Republican,Biden,09-17 work,1314,0.2161339421613394
James Lankford,Republican,Trump,05-08 morning,574,0.21602787456445993
Mariannette Miller-Meeks,Republican,Trump II,09-17 work,1090,0.21559633027522937
Lori Trahan,Democrat,Biden,09-17 work,3717,0.21549636803874092
Pete Ricketts,Republican,Trump II,09-17 work,543,0.2154696132596685
Carolyn Maloney D-NY,Democrat,Biden,18-20 evening,868,0.2154377880184332
Josh Harder,Democrat,Biden,09-17 work,2085,0.21534772182254197
Chellie Pingree,Democrat,Biden,05-08 morning,381,0.2152230971128609
"Armstrong, Kelly",Republican,Trump,09-17 work,1907,0.2149973780807551
"Sarbanes, John ",Democrat,Biden,18-20 evening,228,0.2149122807017544
Todd Young,Republican,Biden,09-17 work,3569,0.21490613617259738
Emilia Strong Sykes,Democrat,Trump II,05-08 morning,312,0.21474358974358973
Patrick Ryan,Democrat,Biden,09-17 work,1282,0.21450858034321374
John Boozman,Republican,Biden,05-08 morning,891,0.2143658810325477
Elissa Slotkin,Democrat,Biden,18-20 evening,392,0.21428571428571427
Peter DeFazio D-OR,Democrat,Biden,09-17 work,1051,0.21408182683158897
Kat Cammack,Republican,Trump II,05-08 morning,327,0.21406727828746178
Ami Bera,Democrat,Trump,09-17 work,1878,0.21405750798722045
Julia Letlow,Republican,Trump II,09-17 work,584,0.21404109589041095
Roger F. Wicker,Republican,Trump II,09-17 work,229,0.21397379912663755
Jeb Hensarling R-TX,Republican,Trump,09-17 work,215,0.21395348837209302
"Wexton, Jennifer",Democrat,Biden,18-20 evening,402,0.21393034825870647
Sean Casten,Democrat,Biden,09-17 work,5717,0.21392338639146405
Brett Guthrie,Republican,Trump II,05-08 morning,360,0.21388888888888888
Joyce Beatty,Democrat,Biden,18-20 evening,253,0.2134387351778656
Denny Heck D-WA,Democrat,Trump,05-08 morning,328,0.21341463414634146
Sam Graves,Republican,Obama,09-17 work,2081,0.21335896203748198
Bill Hagerty,Republican,Trump II,09-17 work,675,0.21333333333333335
Vince Fong,Republican,Trump II,05-08 morning,347,0.2132564841498559
Bill Cassidy,Republican,Trump,05-08 morning,755,0.21324503311258278
Eleanor Holmes Norton,Democrat,Biden,09-17 work,1047,0.21298949379178606
Mike Bost,Republican,Trump II,09-17 work,310,0.2129032258064516
Bill Huizenga,Republican,Obama,05-08 morning,296,0.21283783783783783
Kevin Cramer,Republican,Trump,05-08 morning,658,0.2127659574468085
Stacey E. Plaskett,Democrat,Trump II,00-04 night,221,0.21266968325791855
Tom Marino R-PA,Republican,Obama,18-20 evening,221,0.21266968325791855
Kenny Marchant R-TX,Republican,Obama,05-08 morning,301,0.21262458471760798
"Stabenow, Debbie",Democrat,Trump,09-17 work,2625,0.21257142857142858
Steve Cohen,Democrat,Obama,21-23 late,541,0.21256931608133087
Al Green,Democrat,Biden,05-08 morning,207,0.21256038647342995
Sheri Biggs,Republican,Trump II,09-17 work,320,0.2125
Bill Flores R-TX,Republican,Obama,18-20 evening,391,0.21227621483375958
Dan Sullivan,Republican,Trump II,05-08 morning,278,0.21223021582733814
Tom Marino R-PA,Republican,Obama,09-17 work,2150,0.21209302325581394
Kevin Cramer,Republican,Trump,18-20 evening,401,0.2119700748129676
Alma S. Adams,Democrat,Trump,05-08 morning,288,0.21180555555555555
Jeanne Shaheen,Democrat,Biden,18-20 evening,718,0.2116991643454039
Michael R. Turner,Republican,Biden,18-20 evening,208,0.21153846153846154
Bennie G. Thompson,Democrat,Biden,09-17 work,823,0.21142162818955043
Mark B. Messmer,Republican,Trump II,05-08 morning,246,0.21138211382113822
Catherine Cortez Masto,Democrat,Biden,00-04 night,511,0.21135029354207435
David J. Taylor,Republican,Trump II,09-17 work,398,0.21105527638190955
Sean Casten,Democrat,Biden,18-20 evening,597,0.21105527638190955
Mark Alford,Republican,Trump II,09-17 work,1692,0.21099290780141844
Juan Vargas,Democrat,Biden,05-08 morning,408,0.2107843137254902
"Waltz, Michael",Republican,Trump,18-20 evening,337,0.21068249258160238
Richard Shelby R-AL,Republican,Biden,09-17 work,394,0.21065989847715735
Shri Thanedar,Democrat,Biden,09-17 work,893,0.21052631578947367
H. Morgan Griffith,Republican,Trump II,09-17 work,442,0.21040723981900453
Bryan Steil,Republican,Trump II,09-17 work,566,0.21024734982332155
Nancy Pelosi,Democrat,Biden,05-08 morning,1670,0.21017964071856288
Jodey C. Arrington,Republican,Trump,05-08 morning,357,0.21008403361344538
Michael Guest,Republican,Trump,09-17 work,810,0.20987654320987653
Bill Huizenga,Republican,Obama,21-23 late,286,0.2097902097902098
Sara Jacobs,Democrat,Biden,05-08 morning,782,0.20971867007672634
Kevin Mullin,Democrat,Biden,09-17 work,582,0.20962199312714777
Nathaniel Moran,Republican,Trump II,09-17 work,334,0.20958083832335328
Glenn Grothman,Republican,Trump II,09-17 work,272,0.20955882352941177
Sean Maloney D-NY,Democrat,Biden,09-17 work,692,0.20953757225433525
Michael K. Simpson,Republican,Biden,05-08 morning,339,0.20943952802359883
Vern Buchanan,Republican,Trump II,05-08 morning,573,0.2094240837696335
"Romney, Mitt",Republican,Biden,05-08 morning,320,0.209375
"Swalwell, Eric",Democrat,Obama,05-08 morning,817,0.20930232558139536
Markwayne Mullin R-OK,Republican,Obama,18-20 evening,220,0.20909090909090908
Louie Gohmert R-TX,Republican,Trump,18-20 evening,244,0.20901639344262296
Doug Collins,Republican,Obama,09-17 work,1799,0.20900500277932185
Julie Fedorchak,Republican,Trump II,05-08 morning,316,0.2088607594936709
Pete Aguilar,Democrat,Biden,05-08 morning,321,0.2087227414330218
Richard Burr R-NC,Republican,Obama,09-17 work,2075,0.20867469879518072
"Jesús G. ""Chuy"" García",Democrat,Biden,18-20 evening,513,0.20857699805068225
Bradley Scott Schneider,Democrat,Biden,05-08 morning,585,0.20854700854700856
"Gallagher, Mike",Republican,Trump,09-17 work,1516,0.20844327176781002
John Yarmuth D-KY,Democrat,Obama,09-17 work,1972,0.20841784989858012
Bill Flores R-TX,Republican,Obama,09-17 work,3708,0.20819848975188782
Robert J. Wittman,Republican,Biden,09-17 work,1249,0.20816653322658127
Jason Crow,Democrat,Biden,09-17 work,2191,0.20812414422638065
Scott H. Peters,Democrat,Trump,09-17 work,5482,0.20795330171470267
Suzan K. DelBene,Democrat,Trump,09-17 work,3222,0.2079453755431409
"Lee, Barbara",Democrat,Obama,18-20 evening,279,0.2078853046594982
Pat Roberts R-KS,Republican,Obama,09-17 work,2836,0.20768688293370946
Robert Pittenger R-NC,Republican,Obama,09-17 work,4383,0.2076203513575177
Kat Cammack,Republican,Biden,00-04 night,212,0.20754716981132076
Val T. Hoyle,Democrat,Biden,05-08 morning,347,0.207492795389049
Mark Takano,Democrat,Obama,09-17 work,1041,0.207492795389049
Ted Lieu,Democrat,Obama,09-17 work,1205,0.2074688796680498
Cynthia M. Lummis,Republican,Trump II,00-04 night,646,0.20743034055727555
"Lamborn, Doug",Republican,Obama,05-08 morning,521,0.2072936660268714
Eliot Engel D-NY,Democrat,Obama,09-17 work,1140,0.20701754385964913
Kathy Castor,Democrat,Trump,05-08 morning,401,0.20698254364089774
Linda T. Sánchez,Democrat,Biden,09-17 work,886,0.20654627539503387
Zoe Lofgren,Democrat,Biden,09-17 work,581,0.20654044750430292
Frederica S. Wilson,Democrat,Trump,05-08 morning,339,0.20648967551622419
Donald McEachin D-VA,Democrat,Trump,09-17 work,1729,0.20647773279352227
Cory A. Booker,Democrat,Trump,00-04 night,436,0.20642201834862386
Dina Titus,Democrat,Biden,05-08 morning,780,0.2064102564102564
Marlin A. Stutzman,Republican,Obama,09-17 work,819,0.20634920634920634
Denver Riggleman R-VA,Republican,Trump,18-20 evening,252,0.20634920634920634
Steve Daines,Republican,Trump II,05-08 morning,582,0.20618556701030927
Mike Carey,Republican,Biden,09-17 work,747,0.20615796519410978
"Wild, Susan",Democrat,Trump,18-20 evening,272,0.20588235294117646
Emanuel Cleaver,Democrat,Biden,09-17 work,3548,0.20574971815107101
Julie Fedorchak,Republican,Trump II,09-17 work,389,0.20565552699228792
Steve Womack,Republican,Biden,05-08 morning,428,0.205607476635514
Bill Huizenga,Republican,Trump,18-20 evening,219,0.2054794520547945
Pete Ricketts,Republican,Trump II,05-08 morning,516,0.2054263565891473
Julia Letlow,Republican,Biden,09-17 work,1042,0.2053742802303263
"Curtis, John ",Republican,Biden,05-08 morning,224,0.20535714285714285
Ron Kind D-WI,Democrat,Trump,09-17 work,750,0.20533333333333334
Joe Neguse,Democrat,Trump,05-08 morning,887,0.20518602029312288
Salud O. Carbajal,Democrat,Trump,18-20 evening,405,0.20493827160493827
Madeleine Dean,Democrat,Trump,05-08 morning,293,0.20477815699658702
Marie Gluesenkamp Perez,Democrat,Trump II,05-08 morning,293,0.20477815699658702
Gregory W. Meeks,Democrat,Obama,09-17 work,630,0.20476190476190476
Marie Newman D-IL,Democrat,Biden,05-08 morning,381,0.2047244094488189
John Garamendi,Democrat,Trump,09-17 work,2467,0.2047020672882043
Brian J. Mast,Republican,Trump,09-17 work,2689,0.2045370026031982
Cory A. Booker,Democrat,Biden,18-20 evening,269,0.20446096654275092
Steve Southerland R-FL,Republican,Obama,09-17 work,509,0.2043222003929273
Bill Nelson D-FL,Democrat,Obama,09-17 work,294,0.20408163265306123
Lucille Roybal-Allard D-CA,Democrat,Trump,09-17 work,3583,0.20373988277979346
Louie Gohmert R-TX,Republican,Trump,09-17 work,2204,0.20372050816696916
"Allred, Colin",Democrat,Biden,18-20 evening,270,0.2037037037037037
Donald Norcross,Democrat,Biden,09-17 work,713,0.20336605890603085
"Nickel, Wiley",Democrat,Biden,09-17 work,551,0.20326678765880218
Michelle Grisham D-NM,Democrat,Obama,05-08 morning,369,0.2032520325203252
Michael K. Simpson,Republican,Trump II,00-04 night,330,0.20303030303030303
Riley M. Moore,Republican,Trump II,00-04 night,266,0.20300751879699247
Laurel M. Lee,Republican,Biden,09-17 work,961,0.20291363163371487
Stephen F. Lynch,Democrat,Trump,09-17 work,1548,0.20284237726098192
David J. Taylor,Republican,Trump II,05-08 morning,212,0.2028301886792453
Debbie Wasserman Schultz,Democrat,Obama,09-17 work,1425,0.20280701754385966
John Ratcliffe R-TX,Republican,Trump,09-17 work,983,0.20244150559511698
Chris Stewart R-UT,Republican,Trump,09-17 work,1092,0.20238095238095238
Mark B. Messmer,Republican,Trump II,09-17 work,257,0.20233463035019456
Rick Larsen,Democrat,Obama,18-20 evening,346,0.2023121387283237
Carolyn Maloney D-NY,Democrat,Obama,09-17 work,1698,0.20200235571260305
Donna Edwards D-MD,Democrat,Obama,18-20 evening,436,0.2018348623853211
Richard Hudson,Republican,Obama,09-17 work,2612,0.20176110260336907
Jason Crow,Democrat,Biden,00-04 night,233,0.2017167381974249
Frank D. Lucas,Republican,Biden,09-17 work,1175,0.20170212765957446
Zoe Lofgren,Democrat,Obama,09-17 work,957,0.20167189132706373
Sean Casten,Democrat,Trump,18-20 evening,288,0.2013888888888889
Cynthia M. Lummis,Republican,Trump II,05-08 morning,1004,0.20119521912350596
Sylvia R. Garcia,Democrat,Trump,18-20 evening,691,0.2011577424023155
Zachary Nunn,Republican,Trump II,05-08 morning,368,0.20108695652173914
John Lewis D-GA,Democrat,Obama,09-17 work,1368,0.2010233918128655
Steve Israel D-NY,Democrat,Obama,09-17 work,2448,0.20098039215686275
"Gallagher, Mike",Republican,Trump,05-08 morning,204,0.20098039215686275
Richard J. Durbin,Democrat,Obama,18-20 evening,613,0.200652528548124
Stephanie I. Bice,Republican,Trump II,05-08 morning,489,0.20040899795501022
André Carson,Democrat,Biden,09-17 work,1904,0.20010504201680673
Mary Gay Scanlon,Democrat,Biden,21-23 late,360,0.2
Tim Kaine,Democrat,Biden,18-20 evening,200,0.2
John McCain R-AZ,Republican,Trump,09-17 work,1221,0.19983619983619982
Catherine Cortez Masto,Democrat,Biden,05-08 morning,1567,0.19974473516273133
Ralph Norman,Republican,Trump,09-17 work,1669,0.19952067106051527
Jason Crow,Democrat,Trump,05-08 morning,346,0.1994219653179191
Cory Mills,Republican,Trump II,00-04 night,241,0.1991701244813278
Brenda Lawrence D-MI,Democrat,Obama,09-17 work,1647,0.19914996964177292
Jared Polis D-CO,Democrat,Obama,05-08 morning,216,0.19907407407407407
Roger Marshall,Republican,Trump II,00-04 night,206,0.19902912621359223
John McCain R-AZ,Republican,Trump,05-08 morning,819,0.199023199023199
"Cardin, Benjamin",Democrat,Obama,18-20 evening,613,0.19902120717781402
Julia Brownley,Democrat,Trump,09-17 work,1548,0.19896640826873385
Kirsten E. Gillibrand,Democrat,Biden,05-08 morning,538,0.19888475836431227
Charlie Crist D-FL,Democrat,Biden,09-17 work,971,0.19876416065911431
Fred Upton R-MI,Republican,Biden,09-17 work,609,0.1986863711001642
"Bowman, Jamaal",Democrat,Biden,18-20 evening,302,0.1986754966887417
Brittany Pettersen,Democrat,Biden,05-08 morning,292,0.19863013698630136
Filemon Vela D-TX,Democrat,Trump,09-17 work,997,0.19859578736208625
"Kildee, Dan",Democrat,Obama,09-17 work,2000,0.1985
Linda T. Sánchez,Democrat,Trump,05-08 morning,237,0.19831223628691982
Richard Shelby R-AL,Republican,Obama,09-17 work,827,0.19830713422007254
Tim Walberg,Republican,Trump II,05-08 morning,459,0.19825708061002179
Grace Meng,Democrat,Trump,05-08 morning,313,0.19808306709265175
Tim Moore,Republican,Trump II,09-17 work,414,0.19806763285024154
David Perdue R-GA,Republican,Obama,09-17 work,1323,0.1980347694633409
"Robert C. ""Bobby"" Scott",Democrat,Biden,09-17 work,1153,0.19774501300954034
Jodey C. Arrington,Republican,Trump,18-20 evening,344,0.19767441860465115
Bill Cassidy,Republican,Trump II,00-04 night,324,0.19753086419753085
Dusty Johnson,Republican,Biden,09-17 work,1322,0.197428139183056
Bill Foster,Democrat,Biden,05-08 morning,517,0.19729206963249515
Frederica S. Wilson,Democrat,Biden,05-08 morning,507,0.19723865877712032
Stephen F. Lynch,Democrat,Trump,18-20 evening,335,0.19701492537313434
Martha Roby R-AL,Republican,Obama,09-17 work,3777,0.19698173153296267
Gwen Moore,Democrat,Obama,09-17 work,3922,0.196838347781744
"Granger, Kay",Republican,Biden,05-08 morning,1047,0.19675262655205347
John H. Rutherford,Republican,Trump,09-17 work,910,0.1967032967032967
Adam Kinzinger R-IL,Republican,Trump,09-17 work,2354,0.19668649107901445
Ann Wagner,Republican,Obama,09-17 work,1505,0.19667774086378736
Ami Bera,Democrat,Trump,18-20 evening,321,0.19626168224299065
"Bishop, Dan",Republican,Trump,09-17 work,428,0.19626168224299065
