year,month,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2013,9,16777,0.2656333034603114,0.2463491685045002,0.1866941859575474,0.26955610061434737,0.3976756164740068,0.4332562492595922,0.1250489438071572,0.14956549422115104,0.0026042767771069686,0.05859586540169731
2013,10,16771,0.3088318575808622,0.29062071432830483,0.20324429338984026,0.31925465445757284,0.3579848495368094,0.411662419165728,0.11601612264475428,0.17115389891437488,0.0027064564965159597,0.1017944195222481
2013,11,15222,0.17083602649674093,0.14281960320588621,0.1160202509491079,0.1806046215729474,0.5299100513315981,0.5146857574830196,0.0921680888189452,0.11823206285705869,0.00223079143807745,-0.03620141156187315
2013,12,11910,0.17081629262547424,0.14072208228379512,0.12331005673286956,0.18184987699720886,0.5182791375505834,0.5014297971219657,0.09004660376848451,0.13117889048000697,0.0024987689899364104,-0.03622114543313984
2014,1,13155,0.17623409080256805,0.143747624477385,0.12898026083618883,0.18686476512346595,0.4913198252986226,0.501794938864813,0.09304777273302244,0.12821363714102021,0.002378046568509511,0.0094811458459024
2014,2,15718,0.1783417123482155,0.14881028120626033,0.12958378626527767,0.1870555890281036,0.5131608325849583,0.5026875914693131,0.09513372630159982,0.1123429389263371,0.002228352044916076,0.011588767391549848
2014,3,18970,0.16588075826129628,0.1379019504480759,0.11215118114999692,0.17159561996201408,0.5303934698657102,0.513622177434797,0.08592198031200131,0.10065729782691261,0.0019645688335486267,-0.0008721866953693702
2014,4,19344,0.17123433752353262,0.14428246484698098,0.12709593378742218,0.17647998633544515,0.517658098183349,0.5117001627593113,0.0958924256168271,0.11806812225632517,0.001987932652263545,0.004481392566866971
2014,5,20698,0.15993853117723486,0.12783843849647308,0.11210700706989378,0.16562543068166993,0.5292148155759524,0.5220312173093816,0.10102085107443852,0.10716528085912008,0.0018470764684758317,-0.006814413779430789
2014,6,18884,0.174313440055067,0.14461978394407965,0.13027716004381912,0.18111693644199287,0.5044449533911308,0.5131400870865996,0.11167784019999845,0.11213182339197081,0.0020212593886105327,0.007560495098401343
2014,7,17962,0.20393989806375556,0.1785992651152433,0.14806115400057285,0.2057031804292906,0.4742721211255901,0.49861160552337275,0.1176917219711116,0.1163037003879132,0.002255153189772623,0.037186953107089915
2014,8,13669,0.1355865259343584,0.10761577291681908,0.10169224929938772,0.14197963166243227,0.5654306822787448,0.538605020417451,0.10123802447521975,0.09677960043185059,0.0021091045265646544,-0.03116641902230724
2014,9,16853,0.1545652911832768,0.12009731205126684,0.11570239472992574,0.158803791334394,0.5079806787174749,0.5275527917545839,0.12635525014419852,0.11089446257843741,0.001963610438312988,-0.012187653773388846
2014,10,14429,0.13510259543084047,0.10167024741839352,0.10701487453705996,0.14467812862958002,0.549915976326056,0.532956141814267,0.11466460562876464,0.10134210897995184,0.0019891499557748815,-0.03165034952582518
2014,11,7894,0.1791758234209747,0.14808715480111478,0.1305082035589634,0.1800627170957286,0.5254873866087342,0.5384538723346981,0.09994932759348737,0.10571419901842422,0.003191531458247287,0.012422878464309062
2014,12,11979,0.1620221578261097,0.13640537607479755,0.11900497292237847,0.1660883810057221,0.5364921139901299,0.5322335607676056,0.10548054049798264,0.1124336243704209,0.0024647608992100795,-0.004730787130555941
2015,1,18562,0.16834871310825453,0.13770067880616313,0.11497024865956786,0.1673535285557963,0.5251775680738986,0.5370919558981196,0.11062318773296428,0.09747663686976063,0.0019759313505000597,0.0003771753653187271
2015,2,11677,0.20246083065030374,0.18061145842254003,0.1398916311985601,0.20305352567186152,0.4928315761389042,0.4951727831970055,0.1254944965566196,0.10316341436363025,0.0028012298584601477,0.034489292907367936
2015,3,22199,0.15947754995494157,0.12887967926483174,0.10581802966183251,0.15876192692419722,0.544482759373629,0.5361089027402457,0.09529141489744185,0.08720458944623606,0.0017791554414094276,-0.008493987787994234
2015,4,22068,0.1469211031026373,0.11654884901214428,0.10202885945401381,0.1478011081139872,0.552180960719031,0.5428497963536216,0.09509654727224912,0.09263291819003297,0.0017116123984578285,-0.021050434640298488
2015,5,21338,0.13849545397235713,0.10830443340519261,0.10277257110205909,0.1413573906484367,0.5738657322539055,0.5601199526261949,0.0912354739753703,0.10007383266854247,0.0017048854397285688,-0.02947608377057867
2015,6,18009,0.17002519444707606,0.13954134044089067,0.12680595725969354,0.1719013566002169,0.5177833890041069,0.5280843525573938,0.11293084709389238,0.1079780211807368,0.002026651993095466,0.002053656704140261
2015,7,25518,0.179495826704397,0.15146171330041538,0.12971225675181522,0.17859139423354983,0.5155888128032275,0.5349198360480866,0.10705631260265927,0.10102701809302014,0.001772069401912302,0.01152428896146121
2015,8,16413,0.1386668148225085,0.11107049290196795,0.10499865388245516,0.14089226543832195,0.5767877415001149,0.5583362404783293,0.09381321467664214,0.09617135730291564,0.0019646483185037054,-0.029304722920427295
2015,9,12001,0.19144736054486428,0.17098575118740106,0.14423158195177707,0.18960582075327662,0.5239687815156312,0.5496605155202936,0.10936372183974075,0.1199543813199119,0.002766510455020538,0.023475822801928475
2015,10,12475,0.19132829332317344,0.16496993987975953,0.148501082299056,0.19145830084209542,0.4964268564981948,0.5272017136469618,0.13021830014563454,0.11423733884360425,0.0026409383129188135,0.023356755580237643
2015,11,10582,0.18335191974427992,0.15847665847665848,0.1468523955482148,0.18448902090151195,0.5138353220156721,0.5428083692184903,0.1456634680633779,0.11489122542619537,0.0028262275975435972,0.015380382001344117
2015,12,9563,0.19791824170361014,0.16971661612464709,0.15868264425443648,0.1958953798786534,0.5063961247818732,0.5423445136284955,0.14801998053498966,0.11468321970180627,0.00305693683908019,0.029946703960674337
2016,1,12969,0.19543942956666657,0.16978949803377286,0.14859337732594408,0.19390777172499213,0.5001647862496346,0.5342664160306545,0.13177452428619071,0.1180234753967813,0.00260159704430206,0.011272164822003522
