src,dst,n,anger,sp,dp,cross
S001185,L000287,5,0.34169922191649676,Democrat,Democrat,False
C001095,S000033,5,0.7314845979213714,Republican,Independent,False
M001176,S001150,3,0.7726528843243917,Democrat,Democrat,False
M001176,M000355,13,0.7716667818335387,Democrat,Republican,True
P000603,B001288,5,0.16126371696591377,Republican,Democrat,True
L000581,C000984,5,0.8499531626701355,Democrat,Democrat,False
S001157,F000062,3,0.7756084303061167,Democrat,Democrat,False
B001277,R000606,4,0.8365026414394379,Democrat,Democrat,False
M000934,B001277,3,0.5815364420413971,Republican,Democrat,True
C001070,B000944,5,0.3345340296626091,Democrat,Democrat,False
H000601,C001095,3,0.2939555073777835,Republican,Republican,False
W000802,G000359,7,0.7324943441365447,Democrat,Republican,True
K000385,D000563,3,0.8086837927500407,Democrat,Democrat,False
E000299,C001098,4,0.6704815477132797,Democrat,Republican,True
M000355,M000303,6,0.1624204864104589,Republican,Republican,False
O000172,P000617,5,0.05152820087969303,Democrat,Democrat,False
C001075,S000148,4,0.7577200047671795,Republican,Democrat,True
W000817,O000172,3,0.3962905978163083,Democrat,Democrat,False
M001187,J000289,6,0.6545435984929403,Republican,Republican,False
Y000066,G000386,3,0.018664608088632424,Republican,Republican,False
M001198,L000577,3,0.6358712489406267,Republican,Republican,False
P000608,M001169,3,0.2621632069349289,Democrat,Democrat,False
E000295,S001184,6,0.022696062146375578,Republican,Republican,False
K000389,W000817,5,0.3888720951974392,Democrat,Democrat,False
D000614,J000293,4,0.33433924056589603,Republican,Republican,False
C001093,R000146,3,0.6122052272160848,Republican,Democrat,True
M001199,O000173,3,0.928308347860972,Republican,Democrat,True
S001217,P000197,23,0.8678080595057943,Republican,Democrat,True
B001230,M001111,4,0.2525163551326841,Democrat,Democrat,False
P000604,M000639,5,0.0215292077511549,Democrat,Democrat,False
C000141,W000802,4,0.06676936894655228,Democrat,Democrat,False
C001101,L000287,4,0.21006104908883572,Democrat,Democrat,False
M000133,S000033,6,0.27210991519192856,Democrat,Independent,False
G000578,S001150,12,0.7626944423342744,Republican,Democrat,True
C000141,M000355,4,0.4562378069385886,Democrat,Republican,True
M000639,B001288,22,0.0379229470748793,Democrat,Democrat,False
C000141,C000984,3,0.1205927412956953,Democrat,Democrat,False
C001080,B001277,3,0.6512022241950035,Democrat,Democrat,False
H001075,B000944,4,0.027136537479236722,Democrat,Democrat,False
B001236,C001095,7,0.2620253543635564,Republican,Republican,False
C001113,G000359,4,0.6010607238858938,Democrat,Republican,True
M000133,D000563,3,0.3988484591245651,Democrat,Democrat,False
K000378,M000303,3,0.20668116956949234,Republican,Republican,False
S001217,S000148,55,0.8705116087740118,Republican,Democrat,True
B001274,O000172,12,0.9130773146947225,Republican,Democrat,True
R000307,S001184,6,0.4994847080670297,Republican,Republican,False
J000298,W000817,6,0.6395339267328382,Democrat,Democrat,False
G000560,R000146,4,0.6442059576511383,Republican,Democrat,True
B000825,O000173,4,0.8997042775154114,Republican,Democrat,True
B001299,P000197,64,0.7061331048607826,Republican,Democrat,True
K000360,M000639,3,0.3298665185769399,Republican,Democrat,True
S001198,W000802,6,0.04204467156281074,Republican,Democrat,True
A000370,L000287,4,0.382253993768245,Democrat,Democrat,False
S001217,S000033,13,0.8813690623411765,Republican,Independent,False
B001291,S001150,7,0.5947834764208112,Republican,Democrat,True
J000298,M000355,5,0.6616948425769806,Democrat,Republican,True
P000604,B001288,3,0.2951560554405053,Democrat,Democrat,False
W000797,C000984,3,0.7462371587753296,Democrat,Democrat,False
K000384,B000944,5,0.031221611052751543,Democrat,Democrat,False
H001072,C001095,3,0.039395335130393505,Republican,Republican,False
R000597,G000359,3,0.02069549945493539,Republican,Republican,False
G000535,D000563,3,0.3628679849207401,Democrat,Democrat,False
G000574,M000303,3,0.6258030732472738,Democrat,Republican,True
M000639,S000148,7,0.22980627710265772,Democrat,Democrat,False
B001299,O000172,4,0.6255472674965858,Republican,Democrat,True
B001288,S001184,3,0.02496809232980013,Democrat,Republican,True
S000033,W000817,3,0.730581929286321,Independent,Democrat,False
H001041,R000146,4,0.032541210763156414,Republican,Democrat,True
P000617,O000173,3,0.36789829283952713,Democrat,Democrat,False
G000578,P000197,14,0.8024868028504508,Republican,Democrat,True
M001176,W000802,6,0.5304528182993332,Democrat,Democrat,False
B001278,L000287,4,0.10519127896986902,Democrat,Democrat,False
O000173,S000033,8,0.234947448130697,Democrat,Independent,False
J000289,S001150,12,0.9254108369350433,Republican,Democrat,True
W000817,M000355,10,0.6813063159584999,Democrat,Republican,True
K000389,B001288,3,0.10844001298149426,Democrat,Democrat,False
W000808,C000984,3,0.533263628060619,Democrat,Democrat,False
B000711,B000944,6,0.030341969958196085,Democrat,Democrat,False
M000355,G000359,4,0.31675807293504477,Republican,Republican,False
K000360,D000563,9,0.06267115965278612,Republican,Democrat,True
B001319,S000148,3,0.8080042004585266,Republican,Democrat,True
L000557,O000172,3,0.3941914389530818,Democrat,Democrat,False
M001189,S001184,3,0.026215067754189175,Republican,Republican,False
G000586,W000817,4,0.491786178201437,Democrat,Democrat,False
T000476,R000146,3,0.9504074255625407,Republican,Democrat,True
G000586,P000197,3,0.6532842020193735,Democrat,Democrat,False
R000122,W000802,3,0.013484845403581858,Democrat,Democrat,False
G000553,L000287,3,0.013031989646454653,Democrat,Democrat,False
J000298,S000033,5,0.27995703667402266,Democrat,Independent,False
G000590,S001150,6,0.8082803698877493,Republican,Democrat,True
M000639,M000355,3,0.5346415489912033,Democrat,Republican,True
D000563,G000359,4,0.2821616299916059,Democrat,Republican,True
C001098,S000148,4,0.9526921510696411,Republican,Democrat,True
B000825,O000172,3,0.43105053280790645,Republican,Democrat,True
T000250,S001184,3,0.6007043334345022,Republican,Republican,False
B000944,W000817,3,0.4084036548932393,Democrat,Democrat,False
H001066,R000146,6,0.05428773940851291,Democrat,Democrat,False
C001075,P000197,16,0.8777991384267807,Republican,Democrat,True
E000215,W000802,3,0.2938552921017011,Democrat,Democrat,False
T000469,L000287,3,0.10976479668170214,Democrat,Democrat,False
B001261,S000033,3,0.594107856353124,Republican,Independent,False
D000563,S001150,3,0.532557855049769,Democrat,Democrat,False
P000197,M000355,19,0.8599496640657124,Democrat,Republican,True
W000779,S000148,3,0.6865230699380239,Democrat,Democrat,False
O000173,O000172,3,0.7637087007363638,Democrat,Democrat,False
B001230,W000817,4,0.3713309532031417,Democrat,Democrat,False
M001180,R000146,3,0.27087442576885223,Republican,Democrat,True
M000194,P000197,3,0.839696486790975,Republican,Democrat,True
P000607,S000033,3,0.6818534731864929,Democrat,Independent,False
B001299,S001150,6,0.8830421765645345,Republican,Democrat,True
C001070,M000355,11,0.4507641186091033,Democrat,Republican,True
G000555,S000148,4,0.1466691291425377,Democrat,Democrat,False
S000148,O000172,3,0.09053688744703929,Democrat,Democrat,False
S001145,W000817,4,0.07966616563498974,Democrat,Democrat,False
D000615,R000146,3,0.4626675248146057,Republican,Democrat,True
J000289,P000197,6,0.7957994242509207,Republican,Democrat,True
L000577,S000033,3,0.35462528467178345,Republican,Independent,False
C001075,S001150,3,0.9869823058446249,Republican,Democrat,True
R000614,M000355,3,0.9735018809636434,Republican,Republican,False
B000711,S000148,4,0.016055993270128965,Democrat,Democrat,False
C001098,O000172,8,0.6978482203558087,Republican,Democrat,True
W000802,W000817,8,0.5487810336053371,Democrat,Democrat,False
F000458,R000146,7,0.4703900452171053,Republican,Democrat,True
T000250,P000197,3,0.6225201437870661,Republican,Democrat,True
C001096,S000033,3,0.6846438050270081,Republican,Independent,False
P000607,M000355,10,0.8222184747457504,Democrat,Republican,True
